"p.values","q.values"
"ENSDNOG00000042816",0.00216187993816208,0.020021803181195
"ENSDNOG00000043683",NA,NA
"ENSDNOG00000018035",NA,NA
"ENSDNOG00000036192",0.0107441353907904,0.060854434865246
"ENSDNOG00000027861",NA,NA
"ENSDNOG00000038783",1,1
"ENSDNOG00000001330",0.416650010673432,0.687708182652942
"ENSDNOG00000041739",0.0382312830825417,0.146985872219866
"ENSDNOG00000017312",0.696797018509227,0.895150623410844
"ENSDNOG00000039920",1,1
"ENSDNOG00000014670",NA,NA
"ENSDNOG00000051306",0.894598155467721,1
"ENSDNOG00000029010",NA,NA
"ENSDNOG00000033048",NA,NA
"ENSDNOG00000052475",0.135828605070764,0.347468184833601
"ENSDNOG00000012475",0.135828605070764,0.347468184833601
"ENSDNOG00000047392",0.683794466403162,0.895150623410844
"ENSDNOG00000013180",0.0229703142612013,0.104176770418412
"ENSDNOG00000031550",0.525691699604743,0.771425290258331
"ENSDNOG00000035720",0.528330824736801,0.771425290258331
"ENSDNOG00000030653",0.109837097587804,0.304063592730289
"ENSDNOG00000043098",NA,NA
"ENSDNOG00000038647",0.696797018509227,0.895150623410844
"ENSDNOG00000018531",0.000701591225214862,0.00915803738160542
"ENSDNOG00000018525",0.00450867539304745,0.0337094708811215
"ENSDNOG00000018518",0.00165608161300718,0.0166821639145064
"ENSDNOG00000015648",0.120040083157596,0.320129322464353
"ENSDNOG00000046432",0.333333333333333,0.604611551759203
"ENSDNOG00000030564",NA,NA
"ENSDNOG00000000495",0.000369831033446594,0.00590711314201501
"ENSDNOG00000046705",1,1
"ENSDNOG00000015535",0.00450867539304745,0.0337094708811215
"ENSDNOG00000037552",0.652906776745786,0.861665938146886
"ENSDNOG00000034384",NA,NA
"ENSDNOG00000025046",0.35027893689894,0.617819931494177
"ENSDNOG00000030738",0.696797018509227,0.895150623410844
"ENSDNOG00000047624",0.35027893689894,0.617819931494177
"ENSDNOG00000050574",0.696797018509227,0.895150623410844
"ENSDNOG00000036282",NA,NA
"ENSDNOG00000013892",0.741723331035486,0.92727113025741
"ENSDNOG00000046867",NA,NA
"ENSDNOG00000041087",0.0526111838536122,0.185453058483839
"ENSDNOG00000041608",0.000122370562537476,0.00285047902921527
"ENSDNOG00000013822",0.528330824736801,0.771425290258331
"ENSDNOG00000019786",0.0448229773845604,0.164586208296588
"ENSDNOG00000030709",0.35027893689894,0.617819931494177
"ENSDNOG00000048922",NA,NA
"ENSDNOG00000047580",NA,NA
"ENSDNOG00000047390",NA,NA
"ENSDNOG00000015538",NA,NA
"ENSDNOG00000024272",NA,NA
"ENSDNOG00000032119",0.0448229773845604,0.164586208296588
"ENSDNOG00000019478",0.451910408432148,0.714660243936024
"ENSDNOG00000042167",0.522724893299668,0.771425290258331
"ENSDNOG00000016197",0.653802801198144,0.862752706036479
"ENSDNOG00000018952",1,1
"ENSDNOG00000026308",NA,NA
"ENSDNOG00000004256",0.416650010673432,0.687708182652942
"ENSDNOG00000039191",0.0189687968662259,0.0911071658650536
"ENSDNOG00000044661",0.789196310935441,0.946852437218262
"ENSDNOG00000043391",0.833960822384567,0.974265165476577
"ENSDNOG00000010843",0.0159054537840377,0.0802800100479136
"ENSDNOG00000046397",0.000943613004455648,0.0113228799621436
"ENSDNOG00000039511",0.0702298255131746,0.226878014151023
"ENSDNOG00000026527",0.768115942028986,0.94614157081393
"ENSDNOG00000038605",0.0273756545125505,0.117522597702525
"ENSDNOG00000033929",0.0354466729483555,0.14308014642409
"ENSDNOG00000046309",1,1
"ENSDNOG00000038796",NA,NA
"ENSDNOG00000041655",NA,NA
"ENSDNOG00000015771",0.103806948200541,0.29336743625443
"ENSDNOG00000031225",NA,NA
"ENSDNOG00000014867",3.26321500099936e-05,0.00118487087585905
"ENSDNOG00000046346",0.238141272735431,0.502949461812161
"ENSDNOG00000019937",0.528330824736801,0.771425290258331
"ENSDNOG00000034157",NA,NA
"ENSDNOG00000050708",NA,NA
"ENSDNOG00000008447",0.262187088274045,0.536628114349921
"ENSDNOG00000011495",NA,NA
"ENSDNOG00000049521",0.610093395932674,0.827668201213097
"ENSDNOG00000041074",0.00658761528326746,0.0451247852194556
"ENSDNOG00000043973",0.0523147751576881,0.184517617911211
"ENSDNOG00000044877",0.290747017897375,0.571521309749009
"ENSDNOG00000043023",NA,NA
"ENSDNOG00000034628",NA,NA
"ENSDNOG00000033663",NA,NA
"ENSDNOG00000014903",0.879338546319297,0.996966240802255
"ENSDNOG00000032060",0.787462727966161,0.946852437218262
"ENSDNOG00000051201",0.833960822384567,0.974265165476577
"ENSDNOG00000009828",0.382603800829672,0.652525363580645
"ENSDNOG00000009802",0.976103748482265,1
"ENSDNOG00000011333",0.00450867539304745,0.0337094708811215
"ENSDNOG00000032718",0.0229703142612013,0.104176770418412
"ENSDNOG00000045836",1,1
"ENSDNOG00000005799",NA,NA
