"Liver.Cell.Group","Gene","Log2FC.infected.vs.uninfected"
"1","Hepatocyte","LEAP2",6.325083771
"2","Hepatocyte","LECT2",5.141054983
"3","Hepatocyte","BAAT",4.307699139
"4","Hepatocyte","RGN",4.243056263
"5","Hepatocyte","CHI3L1",4.031304073
"6","Hepatocyte","ACOX2",3.890290453
"7","Hepatocyte","AKR1D1",3.855887336
"8","Hepatocyte","VNN1",3.685316774
"9","Hepatocyte","ALB",3.553387857
"10","Hepatocyte","ABHD14B",3.539904867
"11","Hepatocyte","PECR",3.53484625
"12","Hepatocyte","PBLD",3.482512478
"13","Hepatocyte","SERPINA11",3.474816378
"14","Hepatocyte","DHRS1",3.445786082
"15","Hepatocyte","IGF1",3.225062956
"16","Hepatocyte","PON2",3.152092678
"17","Hepatocyte","SPP2",3.06446784
"18","Hepatocyte","SLC22A9",3.049402594
"19","Hepatocyte","HAO1",3.049042856
"20","Hepatocyte","SERPINF2",3.035568881
"21","Hepatocyte","BHMT",2.997160663
"22","Hepatocyte","HABP2",2.97168736
"23","Hepatocyte","PXDC1",2.96089356
"24","Hepatocyte","CAT",2.954006044
"25","Hepatocyte","C9",2.93296303
"26","Hepatocyte","HOGA1",2.911958349
"27","Hepatocyte","CA2",2.897431606
"28","Hepatocyte","RAB17",2.861012876
"29","Hepatocyte","HMGCL",2.843806539
"30","Hepatocyte","MTHFD1",2.838439831
"31","Hepatocyte","TNFSF14",2.837738164
"32","Hepatocyte","NIPSNAP1",2.794424322
"33","Hepatocyte","ETFA",2.785490579
"34","Hepatocyte","AHCY",2.778792069
"35","Hepatocyte","GPX3",2.778546459
"36","Hepatocyte","SLC22A7",2.738514294
"37","Hepatocyte","ACAA2",2.70793416
"38","Hepatocyte","PLIN5",2.70457442
"39","Hepatocyte","HADHB",2.698119712
"40","Hepatocyte","PROZ",2.697402141
"41","Hepatocyte","NIT2",2.69267909
"42","Hepatocyte","A2M",2.67717993
"43","Hepatocyte","GATM",2.670790025
"44","Hepatocyte","COMT",2.630958447
"45","Hepatocyte","LBP",2.622656959
"46","Hepatocyte","ABCA8",2.621864951
"47","Hepatocyte","EPHX2",2.601973129
"48","Hepatocyte","GJB1",2.574579177
"49","Hepatocyte","LRG1",2.556786126
"50","Hepatocyte","C11orf54",2.554860004
"51","Hepatocyte","SHMT1",2.554851403
"52","Hepatocyte","ACO1",2.534566321
"53","Hepatocyte","PKLR",2.528729501
"54","Hepatocyte","ASGR1",2.516578616
"55","Hepatocyte","APOA5",2.512661784
"56","Hepatocyte","FAM20A",2.48547314
"57","Hepatocyte","SERPINF1",2.473911276
"58","Hepatocyte","FN1",2.465680855
"59","Hepatocyte","RETSAT",2.46174241
"60","Hepatocyte","SERPINA3",2.461563484
"61","Hepatocyte","MST1",2.423308056
"62","Hepatocyte","CD81",2.419600574
"63","Hepatocyte","PDIA4",2.417228739
"64","Hepatocyte","DPYS",2.413282394
"65","Hepatocyte","IDO2",2.380293433
"66","Hepatocyte","FMO4",2.378436287
"67","Hepatocyte","ACMSD",2.368588717
"68","Hepatocyte","ST3GAL6",2.341590611
"69","Hepatocyte","ACSL5",2.331874721
"70","Hepatocyte","RBP5",2.321733103
"71","Hepatocyte","SDC4",2.315266898
"72","Hepatocyte","BPHL",2.308924167
"73","Hepatocyte","F11",2.298912064
"74","Hepatocyte","DCPS",2.265440575
"75","Hepatocyte","HGD",2.26296408
"76","Hepatocyte","TMEM59",2.258183978
"77","Hepatocyte","ALDH1B1",2.255326052
"78","Hepatocyte","DDC",2.244891585
"79","Hepatocyte","CYP39A1",2.244162007
"80","Hepatocyte","LURAP1L",2.242928631
"81","Hepatocyte","CDA",2.237783624
"82","Hepatocyte","OTC",2.226733967
"83","Hepatocyte","PEX19",2.225946352
"84","Hepatocyte","MAN1A1",2.223053573
"85","Hepatocyte","IGF2",2.199031388
"86","Hepatocyte","GSTZ1",2.19279524
"87","Hepatocyte","TKFC",2.16960898
"88","Hepatocyte","HADHA",2.165843563
"89","Hepatocyte","MRPL34",2.159796831
"90","Hepatocyte","CSAD",2.154481131
