"log2FC_vs_all","log2FC_within_quad","Name"
"ENSDNOG00000042816","1.08988607901942","0.962429719295755","MTDH"
"ENSDNOG00000043683","NaN","NaN","RF00026"
"ENSDNOG00000018035","NaN","NaN","TSPYL5"
"ENSDNOG00000036192","1.34552357387319","1.06854567855438","CPQ"
"ENSDNOG00000027861","NaN","NaN","RF00003"
"ENSDNOG00000038783","1.23687053198836","2.29684518867038","SDC2"
"ENSDNOG00000001330","0.956799002437629","1.04308298866393","PTDSS1"
"ENSDNOG00000041739","1.10667260626254","1.08471065950252","MTERF3"
"ENSDNOG00000017312","0.953717600720023","0.970758512168777",""
"ENSDNOG00000039920","0.119716904685648","0.392249712710673","RF00322"
"ENSDNOG00000014670","NaN","NaN","GDF6"
"ENSDNOG00000051306","9.06191286465598","0",""
"ENSDNOG00000029010","NaN","NaN","RF00026"
"ENSDNOG00000033048","NaN","NaN",""
"ENSDNOG00000052475","1.0091145981119","1.05725746684086",""
"ENSDNOG00000012475","1.02762764994997","0.995713583597007","C8orf37"
"ENSDNOG00000047392","1.67492564367479","0.811786666946086",""
"ENSDNOG00000013180","0.999136982912341","0.976304416441081","PLEKHF2"
"ENSDNOG00000031550","1.11657777580079","0.270685521406252",""
"ENSDNOG00000035720","1.02008741747533","0.97590849044798","NDUFAF6"
"ENSDNOG00000030653","0.953562677446779","0.772199726507808",""
"ENSDNOG00000043098","NaN","NaN",""
"ENSDNOG00000038647","1.16927994551477","0.842262194150501","TP53INP1"
"ENSDNOG00000018531","1.30198403554884","0.965422909841399","CCNE2"
"ENSDNOG00000018525","1.0543714913424","0.983646709547427","INTS8"
"ENSDNOG00000018518","1.25146702444763","0.953714819142456","DPY19L4"
"ENSDNOG00000015648","1.23301822046674","1.06885009634172","ESRP1"
"ENSDNOG00000046432","0","1.19380189339675","RF00026"
"ENSDNOG00000030564","NaN","NaN","RF00026"
"ENSDNOG00000000495","1.06188598516348","1.00074640535761","VIRMA"
"ENSDNOG00000046705","0.577198234295448","0.555557936989444","RF00026"
"ENSDNOG00000015535","1.11578272375973","0.910324466106991",""
"ENSDNOG00000037552","1.03846707868682","0.887939817862734",""
"ENSDNOG00000034384","NaN","NaN",""
"ENSDNOG00000025046","0.68181827297964","0.998726836858341","GEM"
"ENSDNOG00000030738","0.865753211625254","0.889976888441742","CDH17"
"ENSDNOG00000047624","1.12362495222051","1.00525772063342","PDP1"
"ENSDNOG00000050574","0.97372684180835","1.0081561100032",""
"ENSDNOG00000036282","0","0.625562818274287","RF00026"
"ENSDNOG00000013892","1.03565721459208","0.976322956042159","TMEM67"
"ENSDNOG00000046867","NaN","NaN",""
"ENSDNOG00000041087","1.12767053553259","1.5799909083475",""
