"Name","p.values","q.values","log2FC_vs_all","log2FC_within_quad","Row.names","Log2FC.infected.vs.uninfected","Liver.Cell.Group"
"15281","ACADSB",0.000511237016823233,0.00736893937642845,1.05485963972999,0.970126584233399,"ENSDNOG00000034380",2.008156263,"Hepatocyte"
"15824","ARF6",0.00566983606423639,0.0390291493822674,0.859944935924713,1.13609473511597,"ENSDNOG00000034463",1.910161586,"Kupffer"
"15898","ARL13B",0.00165608161300718,0.0166821639145064,1.04438671334241,1.00271229717031,"ENSDNOG00000038378",-2.459875619,"Endothelial, stellate, and myofibroblast"
"15992","ASGR1",0.00165608161300718,0.0166821639145064,0.61368543284294,1.12256469733911,"ENSDNOG00000008415",2.516578616,"Hepatocyte"
"16978","CD27",0.000122370562537476,0.00285047902921527,0.589547455240746,1.22236366714629,"ENSDNOG00000035400",0.948357737,"NK, NKT and T-cells"
"16995","CD44",0.000701591225214862,0.00915803738160542,0.853301640173118,0.956148990114782,"ENSDNOG00000000112",1.371223193,"Kupffer, NK, NKT and T-cells"
"17007","CD81",1.08773833366645e-05,0.00062790487353372,0.834249602213984,1.08299955310431,"ENSDNOG00000043163",2.419600574,"Hepatocyte, Endothelial, stellate, and myofibroblast, Kupffer"
"17129","CEBPB",0.00278461013418612,0.0239170757751349,0.798461475547959,0.731705377970225,"ENSDNOG00000041573",1.973590766,"Hepatocyte, Endothelial, stellate, and myofibroblast, Kupffer"
"17730","CSF1R",0.00356234304275763,0.0285263315104057,0.909224361186818,1.07395008710008,"ENSDNOG00000006156",1.485936297,"Kupffer"
"17756","CST3",0.000261057200079949,0.00469646247314782,0.799925103865927,1.00557824848928,"ENSDNOG00000033138",3.470104663,"Cholangiocyte (EPCAM+/bilary), Kupffer"
"17961","DCPS",0.00566983606423639,0.0390291493822674,0.708080750308608,1.20628857965104,"ENSDNOG00000003974",2.265440575,"Hepatocyte, Cholangiocyte (EPCAM+/bilary)"
"18587","EMC10",5.16675708491565e-05,0.00160628736928822,0.813787440984663,1.12703642830206,"ENSDNOG00000040618",2.119100641,"Endothelial, stellate, and myofibroblast, Kupffer"
"19220","FN1",0.00566983606423639,0.0390291493822674,0.94557476612909,0.967743748523406,"ENSDNOG00000000626",2.465680855,"Hepatocyte, Endothelial, stellate, and myofibroblast"
"19853","GSTZ1",0.00356234304275763,0.0285263315104057,0.968391169950691,1.09832809020825,"ENSDNOG00000017287",2.19279524,"Hepatocyte"
"20011","HEXIM1",0.00566983606423639,0.0390291493822674,0.891480548639304,0.988790940062897,"ENSDNOG00000042085",2.434633907,"NK, NKT and T-cells"
"20319","IGFBP2",0.00278461013418612,0.0239170757751349,0.587282132420848,1.08011941832707,"ENSDNOG00000030784",-3.120423368,"Hepatocyte"
