	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:400	GO:400	RELA_GM12878_HG19	190/3819	437/12202	3.3729554901665e-08	3.4066850450681597e-06	2.37882124043321e-06	SRGN/IL23R/LMO2/SAMSN1/LRRFIP2/TNK2/KLF6/ZNF292/PNRC1/PLAC8/RCBTB2/CEP135/CASP10/NCF2/ASAP1/TIFA/ZC3H12C/FAM129A/GALC/MCFD2/ATF7IP/BCAT1/SIRPB2/CCNL1/CD40/BHLHE40/RHOH/IL7/CD226/TPMT/MBOAT1/TLR7/MSL3/LY96/RDH10/WARS2/CWF19L2/BATF/ELK3/TMPO/HIVEP2/STX11/ARHGAP31/SLC25A12/HIVEP1/B2M/NFKB1/IL21R/SF3B1/SPPL2A/GABPB1/SNN/USP49/SCARF1/DENND5A/CTSZ/BHLHE22/IER5/NFKBIE/NFKBIZ/MAP3K5/HMGXB4/GNL3/DNAJC18/UPF2/IRF2/WDR11/IL23A/CBLB/ALCAM/RCC1/ETV6/LRP6/FAS/BIRC3/CCDC28B/IRAK3/IRF5/NCALD/MARCKS/ITGAL/PPP1R15B/MDM4/ALKBH1/B3GNT7/SLAMF1/BTBD19/TYW3/DIPK1A/GATAD2B/HAX1/RCSD1/NMI/NCF4/DENND4A/P2RY10/HGSNAT/IL6ST/PPFIBP2/EGR2/CSF1/CD69/CLEC7A/CPNE8/SNX10/CTSS/RPRD2/TLR1/TMEM156/ACKR3/CXCR5/TRIM13/ANO5/PHIP/CFP/FCHSD2/ZBTB37/NFAT5/ITGB8/TRAF1/DNAJB2/ICAM2/TAPBPL/NUP153/CNPY3/RFTN1/ATAD2B/RFX5/NYX/STAT5A/ATP6V0A1/PSMC3IP/DOCK10/DENND3/LRG1/MLLT6/ZBTB21/GHRL/GPBP1L1/TMEM69/TNFRSF17/TNFAIP3/SLC3A2/WDR74/PKM/NINJ1/TSPOAP1/SF3B3/HTRA2/NOD2/TIMM21/AP3M2/MMD/LAT2/ZMIZ2/SNX8/CHST7/COMMD3/SYTL3/GPR55/PRMT1/NFKBID/HORMAD2/UVRAG/ZNF710/RNF213/ZBTB4/TP53/WRAP53/ADGRG5/NEIL2/EPHX2/UQCRC2/GP1BA/EHMT1/CLIC2/MCOLN2/ELK4/MKNK2/IL1RN/ICAM1/NUP210/CCR8/IER3/NFIC/IGFLR1/MOB3A/ITGB2/GADD45B/JUNB	190
GO:182	GO:182	EGR1_MCF7_HG19	196/3819	478/12202	3.06960150997086e-06	0.000155014876253528	0.000108243842720025	ESRP1/PDP1/NFE2L2/VPS26A/NAF1/PPP2R5E/SLC39A9/SYBU/ATP6V1C1/CSTF3/CEP19/PIGX/BACH2/MBD5/HSPA8/NUCB2/OSBPL8/LMBR1/SDCBP/AVPI1/CAMKMT/EPAS1/ACTRT3/AMZ2/PIK3R1/SH3GL3/ZC2HC1A/TOMM70/PDSS2/KHDC4/ANXA5/TPMT/IMPDH2/ZNF354B/N4BP2L1/UBL3/ZNF410/TMED10/TMPO/DNAJC2/B4GALT4/UNC80/BABAM2/IL4R/VPS13B/ZNF484/WDHD1/SOCS4/NCDN/NIPSNAP1/TMEM9B/MMAA/PNKD/AAMP/SEH1L/ITFG1/RNF145/ACTR10/DHX38/CNOT2/PRKCD/MRTFB/ING2/TOPORS/NEDD4/BNIP2/OSGEP/DHX35/DDX59/NEDD4L/CARS2/SMPD1/LAP3/NUP107/UXS1/BCKDK/PPP1R15B/AP2M1/ABCC5/CEP63/SQLE/TRIB1/ALKBH1/CIPC/AP1S3/SMYD5/DMRT2/HAX1/ADAR/TUBB2A/ARAP2/DENND4A/TENT2/IL6ST/C2CD3/SETX/SYT12/GPR107/OTUD7B/PDIA6/ESPL1/KPNA1/TIMP1/CERS6/PRPF40B/DPY19L1/PRPF4/TWSG1/KLHL8/PAK4/LYSMD2/MIF4GD/TSEN54/KNTC1/CDK5RAP2/ZNF652/SLC36A1/GM2A/SFXN2/ARL3/ING4/KAT7/ATXN2L/LGMN/POLR1C/CLTC/E2F6/TDRKH/NKIRAS2/THNSL1/PGD/MCEE/MPHOSPH10/FAN1/PIP4K2B/GGNBP2/GTF2B/ARPC4/UBFD1/HSPB1/PDCD11/LRRC46/ATP1A1/EGR1/TTI1/RPRD1B/SECISBP2/BROX/TMEM50B/PAQR4/SIX5/VASP/PPDPF/DOLK/NUP188/CTDNEP1/ACADVL/KCTD10/CHAMP1/NAPA/DSTYK/PLBD2/RASAL1/AKAP11/SPATA2L/FMNL2/PLOD3/ZNHIT1/BNIPL/HNRNPLL/UPF3A/SPTAN1/PLEKHA4/TMEM131/RFX2/TMEM87B/REV1/FAM3C/NOP53/SPAG7/PIMREG/RNF139/KIF13B/ENTR1/PMPCA/NKTR/CLUH/FBXO31/CEP72/SFSWAP/FAM168A/MED9/IER3/SERPINB1/TPGS1/GADD45B	196
GO:163	GO:163	DDX18	128/3819	296/12202	8.053617686186749e-06	0.000271138462101621	0.000189330661394566	USP38/OXR1/AK4/XXYLT1/KLF6/ZNF292/DDHD2/USP34/BTBD3/SCLT1/CHST11/STK4/RCAN1/REXO2/SPATA20/CKAP5/ANXA5/MANF/IMPDH2/DSCC1/FNIP1/ATM/NUMB/ABCD4/BATF/B4GALT4/PTPN22/B2M/SF3B1/GABPB1/DDX17/TIMM22/ABR/CEP57L1/IER5/ASF1A/SCARB2/DDX27/HINT3/CYFIP2/BCLAF1/SMURF1/NUF2/ADIPOR2/GALNT11/ATR/ABCC5/B4GALT3/ZNF131/AUH/CLEC2B/AIP/ABCD3/CUTA/INPP5B/SF3A3/ABCB7/RAB29/DTX3L/RP2/NOTCH2/TESC/CTNNB1/DDX23/RMND5A/TAPT1/CLUAP1/ZNF174/TSC22D3/PPCDC/MIF4GD/NFAT5/ZKSCAN8/ABCB6/NOLC1/EFHD2/HIRIP3/TGFBR1/GALNT12/PIK3IP1/SLC2A8/EFTUD2/KIF18B/INPP4A/BRD7/ADK/MRM1/ZBTB21/REPIN1/MUTYH/ADA/SF3A1/B3GAT3/MARS/SF3B3/USP39/BRD8/INTS6L/TIMM21/BROX/PPDPF/TSC22D4/GPS2/STAM/TRAF4/PTPN18/AURKAIP1/DSTYK/SPATA2L/WRAP53/GABPB2/RTL6/NACC2/CHST10/STIL/MGAT4B/USP48/DDX11/ZNF182/TEX264/EHMT1/DIPK1B/RPIA/CDT1/IER3/GPS1/MOB3A/GADD45B	128
GO:405	GO:405	RELA_GM18526_HG19	199/3819	495/12202	1.17593220166291e-05	0.000296922880919884	0.000207335414503723	NFE2L2/SRGN/ZBTB1/SERBP1/LMO2/ARID4B/TNK2/CEP19/PIGX/KLF6/ZNF292/PNRC1/TOR3A/HSPA8/NPC1/CEP135/NCF2/ZC3H12C/FAM129A/PIK3R1/CCNL1/TIPARP/DRAM1/FRA10AC1/CD40/IL7/SEMA7A/RTTN/STX11/TMEM39A/ARHGAP31/HIVEP1/FBXW7/B2M/POLI/NFKB1/KDM8/IL21R/SF3B1/SPPL2A/IPPK/USP49/NFYA/TRAPPC3/CTSZ/IER5/ASF1A/NUP54/HMGCR/NFKBIE/NFKBIZ/MAP3K5/HMGXB4/DCP1A/UPF2/IRF2/WDR11/STAT6/ALCAM/OSGEP/RCC1/LRP6/ZNF570/BIRC3/CCDC28B/IRF5/NCOR1/PIGL/MARCKS/BTG2/MDM4/NKIRAS1/SSSCA1/RELA/ANXA7/P4HA1/MCU/B3GNT7/BTBD19/TYW3/DENND4A/IL6ST/CD69/PTPRCAP/MCL1/NECAP2/GRN/EIF2B4/SF3A3/MON1B/DTL/NUFIP2/PHIP/CTNNB1/FCHSD2/PTCD3/HERPUD1/GPR108/TRIP10/RPAIN/NUP88/MAP4K1/EIF3K/PAK4/PAF1/MED29/ZBTB37/NFAT5/KNTC1/ITGB8/DNAJB2/NOLC1/PPRC1/EPC1/ICAM2/HIST1H1D/PTPN6/TAPBPL/WDR4/NUP153/RPL7L1/CBX5/RFTN1/CLTC/ZNF837/USP9X/ATAD2B/RFX5/STAT5A/PSMC3IP/FADS2/DOCK10/DCAKD/DPP9/MLLT6/HCFC1/REPIN1/GHRL/MEIG1/GPBP1L1/TMEM69/TNFAIP3/SLC3A2/WDR74/PKM/NINJ1/TSPOAP1/HTRA2/NABP1/USP1/NOD2/TIMM21/VASP/DOLK/NUP188/LAT2/ZCWPW1/B9D2/ZMIZ2/CHST7/ZNF546/COMMD3/PRMT1/PIH1D1/NAPA/HCST/NFKBID/CLPTM1/UVRAG/NUP62/SLC17A9/ZBTB4/TP53/WRAP53/OGA/SRSF7/TIAL1/PRPF39/KLF10/EIF5B/UQCRC2/ARL5B/TMEM88/EHMT1/SURF6/MKNK2/ICAM1/SH3TC1/TTLL12/CCR8/CBFA2T3/ILF3/PRDX5/TPGS1/FARSA/SLC1A5/IGFLR1/GADD45B/JUNB	199
GO:160	GO:160	CUL2	76/3819	163/12202	2.6856870537135998e-05	0.0005425087848501469	0.000378823226523813	RHOBTB3/SGPL1/NALCN/RAD51B/OXR1/GADD45A/CMC1/TOR3A/PCDHGC3/ARHGAP24/PTPN13/SERINC1/SLC37A2/DDHD2/BTBD3/TWF1/MAPKAP1/ITPR1/IMPDH2/DSCC1/CMPK2/FNIP1/ABCD4/USP35/USP13/B4GALT4/R3HCC1/PTPN22/CEP350/SMAD4/HINT3/GSDME/ATR/ABCC5/GALNT14/KIF18A/ARAP2/TIPIN/JMY/TENT2/METTL17/USP30/SMAD5/FECH/CUTA/PDIA6/ABCB7/RP2/CTNNB1/ARAP1/TSC22D3/PPCDC/ZSCAN26/EFHD2/DPH3/GYG1/PIK3IP1/KIF18B/MRM1/DPM3/B3GAT3/MARS/USP39/RUNDC1/ROMO1/TSC22D4/B9D2/AURKAIP1/MINDY1/PTDSS2/B4GALT7/ZMYM3/MGAT4B/DPP7/S1PR2/ARFGAP1	76
GO:170	GO:170	E2F4_MELCELLLINE_MM9	147/3819	356/12202	3.411636326733e-05	0.0005742921150000559	0.00040101690156335297	CCNE2/PDP1/SLF1/MCM7/ERCC5/RAD51B/SLC39A9/PPAT/NOP58/CHEK1/LARP7/RFC1/ORC1/DENND1A/NUP155/FNBP4/ATP13A3/CCNA2/UBE3D/DSCC1/BRCA2/MSL3/ATM/ALDH6A1/TMPO/WDR76/NSMCE1/WDHD1/SOCS4/NFYA/OARD1/UTP3/TSR1/RPA1/E2F2/ZMYM4/CLSPN/CEP57L1/E2F8/SSRP1/SLC43A3/CENPK/CCNE1/IPO9/TIMELESS/SRSF4/CCNYL1/NEMP2/TMEM209/ENKD1/CEP152/CAMK2N2/RRM1/ZFPL1/KIF2C/NADK2/SLC9A5/BTBD8/MPZL1/DUSP1/TIPIN/RFC3/C2CD3/PPP1CC/CDC25A/SUZ12/KMT5B/FAM111A/FIGNL1/MCM3/CENPO/SLK/ESPL1/DTL/RASSF3/MBNL3/FCHSD2/POLA1/PPIL4/MAP4K1/EIF3K/KBTBD8/NUP85/CENPI/KNTC1/FANCI/GTF3C5/PHF19/NOLC1/NCAPD2/NUP153/FASTKD3/CSNK2B/GPANK1/BAG6/CNPY3/MAGOH/POLH/CDCA2/RAD18/EIF4ENIF1/KIF15/INCENP/MCM2/TOPBP1/NDC80/SMCHD1/GTF2B/EMC3/MUTYH/TOE1/MSH6/PIM1/CNTRL/RPRD1B/BRCA1/SHCBP1/CEP250/PAQR4/PBK/ZCWPW1/VPS26B/EZR/CCDC138/PDS5B/TMCO1/STK19/DTYMK/CCNF/LIG1/NCAPD3/GABPB2/SRSF7/FANCM/CNOT6/MSH2/REV1/TRIM27/SHMT1/KIF13B/POLD1/PPP1R13L/CDT1/MED9/CORO2A/FAM173A/WDR90	147
GO:390	GO:390	PAX5_GM12892_HG19	121/3819	288/12202	6.76505993042255e-05	0.000976101504246682	0.000681592504268137	NAA16/SLC30A7/IL15/LRRFIP2/KLF6/MDN1/VPS13A/CEP135/KCTD18/PHLDA1/TIFA/TIMM8B/ZUP1/ATF7IP/CEP112/MCCC2/FUT10/MARCH5/STOML1/KBTBD4/NDUFS3/PDE8A/LATS2/UQCRC1/TMPO/TMEM39A/R3HCC1/CLEC16A/AGO1/TRAPPC3/LAMP1/GRHL1/CEP350/CCNG2/CFAP53/DCP1A/DMTF1/PPP1R16B/NUF2/MRPS31/BIRC3/LCK/CARS2/SMPD1/RRP8/PRMT9/DOCK4/RRM2B/DIP2B/KIF18A/ATP6V0D1/SCAMP1/XRRA1/SMARCC1/UNC93B1/PLEKHO1/OTUD7B/SPATA4/RAB1A/SETDB2/CLUAP1/BRPF3/RAB31/NFAT5/TENT4A/POLG/CEP95/PXK/HPS3/EMC9/IPO4/VPS37C/MCM2/ANKS1A/FAN1/MTMR10/DPP9/CISD3/SEC61A1/LRRC61/REPIN1/ATRN/DYNC2H1/TTC4/INTS5/POR/MRPS23/TSPOAP1/NT5E/CEBPG/SLC25A25/VPS28/RECQL4/ARHGEF1/NIPA2/AMDHD2/CCDC25/GNB2/HUS1/ZNF546/COMMD3/CHAMP1/SUPT6H/RHOF/ABLIM3/NOP56/ABCA3/NUDT3/CDC25B/EIF5B/WARS/CHMP2A/METRNL/HS1BP3/MGAT4B/NKTR/CLUH/BUD23/HMGA1/AKAP17A/JUNB	121
GO:32	GO:32	CEBPB_GM12878_HG19	137/3819	343/12202	0.00036334865017746497	0.00427945653824307	0.00298826042795504	CEP19/PIGX/MBD5/GSTCD/INTS12/NR3C1/NCF2/CCNL1/TIPARP/DRAM1/FRA10AC1/RUNX1/TOMM70/ZBTB11/KBTBD4/NDUFS3/RTTN/IMPDH2/BATF/PTPN22/METTL9/POLR3E/UTP3/RUNX3/E2F2/IER5/CTSC/CCNI/CCNG2/ESF1/TMEM68/TGS1/NISCH/DCP1A/UPF2/IRF2/PARP2/EYA3/NUF2/RAD52/CCDC77/MRPS31/BIRC3/S100PBP/ATF4/NUP107/PIGL/DUS2/ITGAL/MDM4/PRMT5/EHBP1L1/MAP3K11/TYW3/GATAD2B/MCOLN1/HIF1AN/NECAP2/TLR1/TMEM156/ACKR3/SF3A3/ITGB7/NUFIP2/PHIP/NOTCH2/ERP29/CTNNB1/OGT/CXCR3/NFX1/TMEM9/ZFP36/SNUPN/ZBTB37/POLG/CDK5RAP1/TSC1/EPC1/COTL1/TACO1/SPNS1/ATXN2L/CNPY3/EIF4ENIF1/PSMC3IP/MCEE/MPHOSPH10/DPP9/GUSB/TNFRSF17/MYCBP2/TNFAIP3/CCR1/SLC3A2/WDR74/INTS5/DDIT3/CLASP1/SYNCRIP/BRCA1/BMS1/ZCWPW1/GPR55/KNL1/DEGS1/AURKAIP1/B3GNT2/TXNIP/DSTYK/ZBTB4/EIF4A1/CD68/OGA/LSM3/XPC/VPS72/LYSMD1/ISG20/IL2RB/CSTF1/ARL5B/RNF139/PICALM/EHMT1/CLEC17A/ABT1/SURF6/NAGPA/NADK/ICAM1/SLC39A3/ILF3/WDR90/MOB3A/GADD45B/JUNB	137
GO:288	GO:288	KEAP1	166/3819	426/12202	0.00038279497256222595	0.00427945653824307	0.00298826042795504	PALD1/SCPEP1/GADD45A/CMC1/USP25/ZNF292/KIF23/CLN6/URB1/USP34/HEBP1/RGS9/NT5DC3/STK4/CTSA/RCAN1/RUNX1/USP28/REXO2/ITPR1/RHOH/ST6GAL1/SPAG9/RIOX2/SEMA7A/EXOSC3/NCKIPSD/UBE3D/DSCC1/CMPK2/BRCA2/FNIP1/R3HCC1/PTPN22/FAM160A1/SF3B1/GABPB1/SMAD2/RPA1/TIMM22/ABR/USP53/MITF/CTSC/KIF2A/SCARB2/ESF1/SUPT3H/CLCN5/BCLAF1/NT5DC2/ANLN/CLCN6/TEP1/TRNAU1AP/KIF14/TXLNA/AZIN2/GALNT11/NLE1/ATR/ZNF133/INO80/DUS2/OSTF1/CTSH/SYTL2/KIF2C/ERI3/S100A13/ZNF131/JMY/TENT2/USP30/RAD9B/HVCN1/SUZ12/RAD9A/AIP/NDUFS8/GGT7/FECH/CUTA/RASGRP1/PDIA6/RAB29/RP2/DDX23/THUMPD2/CLUAP1/ZNF174/SRPK1/SPIN1/PAK4/PAF1/FDXR/LLGL2/TENT4A/SRP68/METTL23/DDX31/ABCB6/ING4/DDX42/DPH3/TPCN2/TGFBR1/PIK3IP1/SLC2A8/NKIRAS2/EFTUD2/BRD7/ADK/MRM1/REPIN1/GHRL/MUTYH/SF3A1/B3GAT3/MARS/PARN/EXOSC6/MAT2A/ATG4C/BRCA1/GPAA1/CYFIP1/BROX/AP3M2/DOLK/ACOT9/TSC22D4/GPC2/STAM/PDS5B/HYDIN/DSTYK/DDX54/TCFL5/SPATA2L/HSF2BP/CTSB/MINDY1/TSPYL2/PTDSS2/ACOT7/ABCG1/NACC2/RASGRP4/PICALM/KIF13B/DPP7/GPD1/CAMTA1/SURF6/AP2A2/RPIA/IER3/CLCN7/SERPINB1/DDX51/SLC12A9/CTU2/GPS1/ARFGAP1/ADAT3	166
GO:437	GO:437	SERGEF	157/3819	401/12202	0.000423708568142878	0.00427945653824307	0.00298826042795504	RHOBTB3/KIF1BP/H2AFY2/SGPL1/PSAP/TRIM4/USP38/OXR1/DPP4/USP25/BACH2/INTS12/PCDHGC3/ARHGAP24/PTPN13/SERINC1/SLC37A2/ARHGAP20/DDHD2/TRAF6/SERPINI1/RGS9/APLP2/STK4/REXO2/ITPR1/SPATA20/CKAP5/POPDC3/ANXA5/PAX5/IMPDH2/NCKIPSD/UBE3D/ZNF354B/DSCC1/ISOC1/FNIP1/CUL5/ATM/NUMB/ABCD4/TMED10/R3HCC1/RANBP9/TIGD4/DDX46/ABR/KIF27/NIPSNAP1/CEP57L1/IGFBP5/IER5/CTSC/ASF1A/KIF2A/CTNND1/VCAN/RUNX2/ZZEF1/HINT3/MAP7/NT5DC2/STAMBPL1/TRIM3/KLF7/GALNT11/NLE1/BOD1L1/QDPR/ZNF133/DAZAP2/STK17A/SOX13/SLC1A4/NKIRAS1/GALNT14/CAMK4/SCG2/ANXA7/KIF18A/ZNF131/JMY/WSCD2/ANKRD13D/NDUFV1/GGT7/RASGRP1/INPP5B/SF3A3/ABCB7/PAK1/RP2/DPY19L1/BACE2/CLUAP1/TSC22D3/UNC13B/MAN2C1/MIF4GD/GXYLT2/ARMCX1/TNIK/TRAF1/SPARC/DPH3/ITPK1/TGFBR1/GYG1/PIK3IP1/ATAD2B/NKIRAS2/BACE1/BRD7/DPP9/MRM1/TTPAL/SMAD3/MARS/MAT2A/SHCBP1/ZNF140/ROMO1/AP3M2/TRAF4/PDS5B/PTPN18/AURKAIP1/TADA2B/ITGA10/DSTYK/TNS3/TPCN1/SLC30A1/SPATA2L/DDX52/HSF2BP/FMNL2/SLC6A17/GABPB2/TSPYL2/ISG20/GYS1/ENOX1/CHRNE/PTPRU/GPD1/RIC8A/AP2A2/RPIA/IER3/SERPINB1/DDX51/MAN2B2/DAGLA/MOB3A/GADD45B	157
