	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:170	GO:170	E2F4_MELCELLLINE_MM9	150/3750	356/12202	2.5990106721013803e-06	0.000262500077882239	0.000172355444570934	CCNE2/MCM7/SLC39A9/NOP58/RFC1/PRPF38A/DENND1A/TRAIP/ATM/ALDH6A1/NSMCE1/WDHD1/TSR1/E2F2/YTHDF3/SLC43A3/CENPK/SHMT2/SRSF4/CCNYL1/NEMP2/OIP5/ENKD1/CLHC1/CEP152/ANAPC15/KIF2C/SLC9A5/DUSP1/CDC25A/SUZ12/KMT5B/FIGNL1/AFMID/CENPO/RASSF3/MBNL3/RHEBL1/MAP4K1/EIF3K/TICRR/HIST1H2BB/NCAPD2/CSNK2B/BAG6/TOPBP1/FANCD2/PIM1/CNTRL/NBR1/BRCA1/ESCO2/ZCWPW1/HNRNPUL1/NCAPD3/SRSF7/ALYREF/CNOT6/MSH2/IFT122/SHMT1/KIF13B/NEIL3/CORO2A	150
GO:390	GO:390	PAX5_GM12892_HG19	120/3750	288/12202	4.624810030380879e-05	0.00233552906534234	0.00153348964165261	KLF6/VPS13A/PHLDA1/ATF7IP/FUT10/PDE8A/UQCRC1/USPL1/CLEC16A/LAMP1/GRHL1/CEP350/CFAP53/BIRC3/LCK/CARS2/FAM160A2/SMPD1/DOCK4/DIP2B/ETV3/EHD1/ATP6V0D1/SCAMP1/SMARCC1/UNC93B1/OTUD7B/RAB1A/KMT2E/FMNL3/STARD10/EIF2B1/RAB31/TENT4A/PPM1D/PXK/XPO6/HPS3/RAF1/GLG1/ZNRF1/ANKS1A/MTMR10/LASP1/ATRN/TSFM/POR/VPS28/NIPA2/AMDHD2/ESCO2/GNB2/RHOF/ABCA3/NUDT3/CDC25B/EIF5B/WARS/PER1/CHMP2A/METRNL/CLUH/RAD23A/HMGA1/JUNB	120
GO:163	GO:163	DDX18	121/3750	296/12202	0.000115648661522188	0.0032888132421601103	0.00215940838203321	OXR1/XXYLT1/NR4A2/KLF6/USP34/ZFP36L2/CHST11/STK4/CRYZL1/RCAN1/ANXA5/TRAIP/FNIP1/ATM/NUMB/BATF/PTPN22/GABPB1/DDX17/GMPPA/IER5/SCARB2/MINDY2/DDX27/HINT3/CYFIP2/ADIPOR2/CAMK2G/B4GALT3/GPN3/CLEC2B/HINFP/INPP5B/NOTCH2/RMND5A/B4GALT1/TAPT1/TSC22D3/PPCDC/USP10/EFHD2/TGFBR1/SLC2A8/INPP4A/BRD7/MARS/SF3B3/USP31/INTS6L/TSC22D4/STAM/PTPN18/DSTYK/NACC2/EHMT1/RMND5B/RPIA/IER3/NACC1/GDF15/MOB3A/GADD45B	121
GO:513	GO:513	TEAD4_SKNSH_HG19	116/3750	284/12202	0.000164832185878771	0.0032888132421601103	0.00215940838203321	RIPK2/MCM7/FUT8/SRSF5/PDCD1LG2/GADD45A/NRP1/KIF23/DUSP6/HSPA8/PLAC8/PTPN13/TEAD1/PHLDA1/ANTXR2/EHBP1/ASAP1/PXDN/AVPI1/BCAT1/JADE1/NEK6/ZFAND5/BHLHE40/HDAC7/SLC38A2/POPDC2/CYBRD1/ID3/LMO7/HNMT/CALD1/NCOA7/TGFBR2/WWC2/LRP6/MALT1/RTN4/PRMT5/TRIB1/TAGLN2/IL7R/S100A13/SPRED1/CLCF1/AFMID/OSMR/KMT2E/RARA/PITPNC1/HRH1/REPS1/PLD1/TNIK/PLEKHA2/SPARC/TIA1/CLTC/VCL/LASP1/PLXDC1/GNG3/AHNAK/KDSR/NBR1/VPS28/WDFY1/SERPINE1/CAPN2/SPTAN1/KLF10/VIM/PICALM/RPL13/TSPAN4/JUNB	116
GO:459	GO:459	SREBF1_HEPG2_HG19	126/3750	313/12202	0.000184948821216387	0.0032888132421601103	0.00215940838203321	ACAP2/KLF6/LRRC49/SDCBP/PI4K2A/ZFP36L2/MGST1/CRYZL1/ITSN1/SIK3/BHLHE40/PFKFB2/HYAL3/TIGD4/TP53BP1/RAB11FIP2/ZC3H7A/STK11IP/CFAP53/TKT/TRIT1/SHMT2/ADIPOR2/KLF7/PIKFYVE/CHP1/EXD1/SLC12A4/RTN4/PRMT5/LAMTOR1/CABIN1/ANXA7/ARRDC4/TMEM53/ACSS2/ENSA/RRAGC/NR1D1/WDYHV1/PAF1/MED29/SNX33/SLC9A3R1/GM2A/FAM117A/MAP3K3/SLC25A33/FADS2/PGD/ATP6AP1/DHCR24/LZTFL1/RALB/LRRC46/RUNDC1/NUDT2/CNDP2/TTC23L/SKAP2/AGPAT1/CDKN1A/LDLR/IQCE/RFX2/EIF5B/IFT122/PANK3/FBXO31/TRAPPC2L/TOR2A	126
GO:400	GO:400	RELA_GM12878_HG19	169/3750	437/12202	0.000195375044088719	0.0032888132421601103	0.00215940838203321	IL23R/SAMSN1/KLF6/PNRC1/SORL1/PLAC8/RCBTB2/NCF2/ASAP1/ZC3H12C/FAM129A/GALC/ZFP36L2/MCFD2/ATF7IP/BCAT1/SIRPB2/CCNL1/BHLHE40/IL7/TPMT/MBOAT1/SNTB1/TLR7/LY96/WARS2/BATF/HIVEP2/STX11/FABP9/AP4E1/SPPL2A/GABPB1/DENND5A/CTSZ/IER5/NFKBIZ/MAP3K5/GNL3/DNAJC18/IRF2/ZC3H10/ETV6/LRP6/BIRC3/IRAK3/IRF5/ITGAL/RNF121/CAMK2G/PEA15/SLC9A8/BTBD19/GATAD2B/NCF4/MYH9/DENND4A/HGSNAT/PPFIBP2/EGR2/SH2B3/CSF1/CD69/CLEC7A/CPNE8/CTSS/RPRD2/TLR1/TMEM156/ACKR3/KMT2E/ZPBP2/FMNL3/STARD10/IRF1/ITGB8/DNAJB2/ICAM2/HIST1H2BB/LIMD2/LAPTM5/ATAD2B/RFX5/STAT5A/ATP6V0A1/DOCK10/DENND3/MITD1/MLLT6/TNFAIP3/SLC3A2/PKM/NINJ1/SF3B3/HTRA2/NOD2/AP3M2/LAT2/SNX8/UVRAG/RNF213/ZBTB4/NEIL2/NCOA1/EHMT1/CLIC2/MKNK2/IL1RN/ICAM1/IER3/NFIC/IGFLR1/MOB3A/GADD45B/JUNB	169
GO:182	GO:182	EGR1_MCF7_HG19	182/3750	478/12202	0.00028983962421443303	0.00418197172080825	0.00274584907150516	NFE2L2/SLC39A9/ATP6V1C1/COIL/CSTF3/CEP19/PIGX/HSPA8/NUCB2/OSBPL8/SDCBP/AVPI1/AMZ2/KHDC4/ANXA5/TPMT/UBL3/TMED10/EMP2/WDHD1/TMEM9B/PNKD/ITFG1/CNOT2/PRKCD/ING2/NEDD4/DHX35/CARS2/SMPD1/UXS1/BCKDK/FUS/AP2M1/RNF121/TRIB1/DRAP1/SMYD5/ARRDC4/SLC9A8/DENND4A/GPR107/OTUD7B/TIMP1/CERS6/DPY19L1/TWSG1/CCNT1/PPFIA1/PTGR1/SLC36A1/GM2A/SFXN2/ARL3/ING4/CASP9/LGMN/CLTC/ZNRF1/PGD/IMPAD1/MCEE/MPHOSPH10/TADA3/ARPC4/JAGN1/UBFD1/LRRC46/USP31/ZFC3H1/VASP/HNRNPUL1/CTDNEP1/DSTYK/PLBD2/AKAP11/PNKP/MARK3/FMNL2/HNRNPLL/SPTAN1/TMEM131/RFX2/PABPC1L/FAM3C/IFT122/SPAG7/KIF13B/ENTR1/CLUH/FBXO31/PTBP1/IER3/SERPINB1/GADD45B	182
GO:224	GO:224	FOXM1_ECC1_HG19	145/3750	372/12202	0.00036202097521974904	0.00431556678711593	0.00283356651994063	NFE2L2/SLC7A11/KLF6/KIF23/DUSP6/PTPN13/ATF7IP/EMP1/SMC4/TPX2/MYOF/CEP55/PBX3/ANXA1/BHLHE40/CENPC/ZDHHC20/SPATA5/HDAC7/MTMR6/WARS2/FOS/DLGAP5/E2F2/WEE1/MED19/CALD1/FMN1/ANLN/CTNNA1/CYTH3/LRP6/CDC42EP4/MALT1/SUN2/GRHL2/OIP5/NUP98/NUMA1/TAGLN2/KIF2C/KCNE3/GNAI3/CLCF1/CDK2AP2/AFMID/CENPO/KMT2E/RHEBL1/TROAP/HJURP/CCNT1/ITGB8/NCAPD2/RFWD3/CDC20/DCLRE1C/PKM/PIM1/SF3B3/WBP1/NUDT2/IFNAR1/HNRNPUL1/CKAP2L/TXNIP/DBP/AKAP11/RNF4/LDLR/MAFB/CDC25B/NEIL3/IER3/SYCE2	145
GO:507	GO:507	TEAD4_A549_HG19	105/3750	258/12202	0.000384555456277658	0.00431556678711593	0.00283356651994063	NFE2L2/MCM7/PDCD1LG2/NRP1/PNRC1/RIOK3/ATP6V1A/TEAD1/EHBP1/AVPI1/CDK6/ANXA1/PDE8A/RIN2/HDAC7/JDP2/MNT/IER5/CALD1/NCOA7/WWC2/DAGLB/LRP6/KLF7/RTN4/PRMT5/TRIB1/PLAU/TAGLN2/S100A13/DUSP1/CLCF1/AFMID/OSMR/KMT2E/HRH1/STARD10/PLD1/CLTB/TIA1/CLTC/RAF1/SLC45A4/DENND3/LASP1/PLXDC1/AHNAK/PKM/VPS28/ADAMTS10/AP2A1/CAPN2/SPTAN1/CALM3/PER1/PTPRH/SPAG7/TSPAN4/IER3/CSRNP1	105
GO:471	GO:471	STAT1_K562_HG19	87/3750	214/12202	0.00120887467980025	0.011358899942526	0.00745816254694256	RHOBTB3/MYD88/IFI44L/ALPK1/CCNL1/MAPKAPK3/CDK17/ADPRHL2/LAMP1/NCOA7/IRF2/IKZF4/STAT2/GMPR/TXLNA/SMPD1/ARRDC4/DENND4A/SCAMP1/CSF1/ZC3HAV1/SOCS3/HINFP/KMT2E/PARP14/TNFSF10/TENT5A/IRF1/PRTFDC1/PEX14/MITD1/PIGC/C1RL/UBFD1/N4BP1/TXNIP/S100A11/WARS/VIM/SMG1/PANK3/CLIC2/NADK/ICAM1/PHYKPL/IGFLR1/GDF15	87
