	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:170	GO:170	E2F4_MELCELLLINE_MM9	150/3750	356/12202	2.5990106721013803e-06	0.000262500077882239	0.000172355444570934	CCNE2/PDP1/SLF1/MCM7/ERCC5/SLC39A9/PPAT/NOP58/RFC1/ANAPC5/TATDN3/PRPF38A/DENND1A/NUP155/RFC4/ATP13A3/CCNA2/TRAIP/UBE3D/DSCC1/MSL3/ATM/ALDH6A1/TMPO/FXN/NSMCE1/WDHD1/SOCS4/NFYA/OARD1/UTP3/TSR1/RPA1/E2F2/CLSPN/CEP57L1/E2F8/YTHDF3/SLC43A3/CENPK/CCNE1/TIMELESS/SHMT2/SRSF4/CCNYL1/HELB/NEMP2/CEP41/MTO1/OIP5/ENKD1/CLHC1/CD2BP2/CEP152/CAMK2N2/RRM1/ANAPC15/KIF2C/NADK2/SLC9A5/MPZL1/DUSP1/TIPIN/RFC3/C2CD3/CDC25A/SUZ12/KMT5B/FIGNL1/AFMID/MCM3/CENPO/SLK/ESPL1/RASSF3/MBNL3/RHEBL1/POLA1/PPIL4/MAP4K1/EIF3K/CENPI/KNTC1/TICRR/FANCI/E2F1/PHF19/NOLC1/HIST1H2BB/NCAPD2/NUP153/FASTKD3/CSNK2B/BAG6/MAGOH/KCTD9/CDCA2/EIF4ENIF1/KIF15/TMEM258/MCM2/TOPBP1/NDC80/GTF2B/EMC3/FANCD2/MUTYH/MSH6/PIM1/CNTRL/RPRD1B/NBR1/BRCA1/SHCBP1/CEP250/PAQR4/ESCO2/PBK/ZCWPW1/HNRNPUL1/HAUS5/CCDC138/TMCO1/SF3B2/ATL3/PPP1R7/DTYMK/RNPS1/LIG1/NCAPD3/RBM15/GABPB2/SRSF7/FANCM/ALYREF/CNOT6/MSH2/TRIM27/GINS1/IFT122/CTC1/SHMT1/KIF13B/POLD1/NEIL3/TCF19/MED9/CORO2A/WDR90/CC2D1A	150
GO:390	GO:390	PAX5_GM12892_HG19	120/3750	288/12202	4.624810030380879e-05	0.00233552906534234	0.00153348964165261	KLF6/MDN1/VPS13A/CEP135/PHLDA1/ZNF398/ZUP1/RRAGA/ATF7IP/CEP112/MCCC2/FUT10/CPEB3/MARCH5/STOML1/PDE8A/LATS2/UQCRC1/USPL1/TMPO/TMEM39A/R3HCC1/CLEC16A/AGO1/LAMP1/GRHL1/CEP350/RIC8B/CCNG2/CFAP53/PPP1R16B/NUF2/MRPS31/BIRC3/LCK/CARS2/FAM160A2/SMPD1/RRP8/PRMT9/UFSP2/DOCK4/RRM2B/DIP2B/ETV3/EHD1/KIF18A/ATP6V0D1/SCAMP1/XRRA1/SMARCC1/UNC93B1/DTWD1/OTUD7B/SPATA4/RAB1A/KMT2E/SETDB2/FMNL3/STARD10/EIF2B1/ACAD9/RAB31/TENT4A/POLG/PPM1D/CEP95/PXK/XPO6/HPS3/IPO4/RAF1/VPS37C/MCM2/GLG1/ZNRF1/ANKS1A/FAN1/MTMR10/CISD3/LASP1/SEC61A1/ATRN/DYNC2H1/TTC4/TSFM/POR/TDRD7/TSPOAP1/CEBPG/VPS28/RECQL4/ARHGEF1/NIPA2/AMDHD2/ESCO2/GNB2/HUS1/COMMD3/CHAMP1/RHOF/YIPF1/NOP56/ABCA3/BOLA3/NUDT3/CDC25B/EIF5B/WARS/PER1/CHMP2A/METRNL/MRPS2/CLUH/TMEM205/BUD23/RAD23A/HMGA1/AKAP17A/JUNB	120
GO:163	GO:163	DDX18	121/3750	296/12202	0.000115648661522188	0.0032888132421601103	0.00215940838203321	USP38/OXR1/XXYLT1/NR4A2/KLF6/TMTC3/DDHD2/STAR/USP34/ZFP36L2/BTBD3/SCLT1/CHST11/STK4/CRYZL1/RCAN1/SPATA20/CKAP5/ANXA5/HINT2/MANF/TRAIP/DSCC1/FNIP1/ATM/NUMB/BATF/B4GALT4/PTPN22/SF3B1/GABPB1/DDX17/GMPPA/CEP57L1/IER5/SCARB2/MINDY2/DDX27/HINT3/CYFIP2/NUF2/ADIPOR2/GALNT11/ATR/DZANK1/DDX28/CAMK2G/B4GALT3/PLCXD2/GPN3/CLEC2B/AIP/ABCD3/DTWD1/DDX20/HINFP/CUTA/INPP5B/ABCB7/RAB29/DTX3L/RP2/NOTCH2/TESC/CTNNB1/DDX23/RMND5A/B4GALT1/TAPT1/ZNF174/TSC22D3/PPCDC/MIF4GD/ZKSCAN8/NOLC1/USP10/EFHD2/HIRIP3/TGFBR1/PIK3IP1/SLC2A8/DUSP14/EFTUD2/KIF18B/INPP4A/BRD7/MRM1/MRRF/MUTYH/ADA/B3GAT3/MARS/SF3B3/BRD8/USP31/INTS6L/TIMM21/PPDPF/TSC22D4/MAEA/SLC2A4/STAM/PTPN18/DSTYK/WRAP53/GABPB2/RTL6/NACC2/CHST10/DDX11/ZNF182/EHMT1/RMND5B/RPIA/IER3/NACC1/SCN5A/UPF3B/GDF15/MOB3A/GADD45B	121
GO:513	GO:513	TEAD4_SKNSH_HG19	116/3750	284/12202	0.000164832185878771	0.0032888132421601103	0.00215940838203321	RIPK2/MCM7/FUT8/SRSF5/FZD6/PDCD1LG2/GADD45A/SLC12A8/NRP1/KIF23/DUSP6/HSPA8/PLAC8/PTPN13/TEAD1/PHLDA1/ANTXR2/EHBP1/ASAP1/PTPN14/PXDN/AVPI1/BCAT1/CAV1/JADE1/ZNF367/ZMYND11/NEK6/ZCCHC4/ZFAND5/BHLHE40/LATS2/HDAC7/SLC38A2/CNN2/POPDC2/OLFML3/POLR3E/CYBRD1/SLC44A1/ID3/LMO7/HNMT/CALD1/SEH1L/NCOA7/TGFBR2/WWC2/ALCAM/PARP2/LRP6/MALT1/STAMBPL1/RTN4/PPP1R15B/PRMT5/NR1D2/TRIB1/TAGLN2/IL7R/PLEKHG4/S100A13/RNASE4/SPRED1/CLCF1/AFMID/OSMR/PRR11/KMT2E/RARA/PITPNC1/MYL12A/HRH1/GATA3/REPS1/DNAJB5/PLD1/TNIK/PLEKHA2/POLG/JUN/SPARC/CEP95/TIA1/ATXN2L/GPCPD1/CLTC/VCL/LASP1/PLXDC1/WDR74/GNG3/AHNAK/KDSR/NBR1/VPS28/SIX5/PCOLCE/KNL1/ANGPTL4/B3GNT2/WDFY1/SERPINE1/CAPN2/SPTAN1/KLF10/GINS1/VIM/PICALM/MFAP4/RPL13/TSPAN4/TMEM205/ILF3/ITGB2/JUNB	116
GO:459	GO:459	SREBF1_HEPG2_HG19	126/3750	313/12202	0.000184948821216387	0.0032888132421601103	0.00215940838203321	ACAP2/KLF6/LRRC49/SC5D/ALS2/SDCBP/PI4K2A/ZFP36L2/MGST1/CEP112/HABP4/CRYZL1/ITSN1/SIK3/BHLHE40/PFKFB2/HYAL3/IBTK/MSMO1/TIGD4/TP53BP1/RAB11FIP2/ZC3H7A/STK11IP/KLF11/LINS1/CFAP53/HMGCR/PIM2/ACSL4/TKT/TRIT1/RFX7/SHMT2/ADIPOR2/ARFIP2/KLF7/PIKFYVE/CEP41/CHP1/EXD1/SLC12A4/RANBP10/RTN4/ORAI3/DYNLRB2/HOMEZ/PRMT5/LAMTOR1/SQLE/CABIN1/TM7SF2/ANXA7/ARRDC4/TMEM53/HMGCS1/TUBE1/TP53INP2/ACSS2/ARSD/ENSA/SYNGAP1/CUTA/RRAGC/NR1D1/TMEM9/WDYHV1/PAK4/PAF1/MED29/SNX33/SLC9A3R1/CENPI/HIF1A/GM2A/PGRMC1/KAT7/FAM117A/RSPH1/MAP3K3/LRPAP1/LRRC73/TDRKH/ACLY/SLC25A33/VPS37C/FADS2/PGD/ZNF76/HSD17B7/ATP6AP1/MLXIPL/DYNC2H1/DHCR24/LZTFL1/RALB/LRRC46/TRAF3IP1/TRIM11/RUNDC1/CYB5A/NUDT2/CNDP2/TTC23L/SLC16A13/SKAP2/MVK/MMAB/TMEM97/SLC20A1/AGPAT1/CDKN1A/ARMC9/PPP1R7/LDLR/JAM3/IQCE/RFX2/EIF5B/IFT122/PANK3/NANP/NSDHL/FBXO31/TRAPPC2L/TOR2A	126
GO:400	GO:400	RELA_GM12878_HG19	169/3750	437/12202	0.000195375044088719	0.0032888132421601103	0.00215940838203321	IL23R/SAMSN1/TNK2/KLF6/PNRC1/SORL1/PLAC8/RCBTB2/CEP135/NCF2/ASAP1/ZC3H12C/FAM129A/GALC/ZFP36L2/MCFD2/ATF7IP/BCAT1/SIRPB2/CCNL1/RAD21/WHAMM/PARP8/BHLHE40/RHOH/IL7/CD226/TPMT/MBOAT1/SNTB1/TLR7/MSL3/LY96/RDH10/WARS2/BATF/TMPO/HIVEP2/STX11/CHMP7/SLC25A12/IL21R/SF3B1/FABP9/AP4E1/SPPL2A/GABPB1/SNN/DENND5A/CTSZ/BHLHE22/IER5/NFKBIE/NFKBIZ/MAP3K5/GNL3/DNAJC18/UPF2/IRF2/ZC3H10/CBLB/ALCAM/ETV6/LRP6/BIRC3/IRAK3/IRF5/NCALD/ITGAL/PPP1R15B/MDM4/RNF121/ALKBH1/CAMK2G/SLAMF1/PEA15/SLC9A8/BTBD19/GATAD2B/HAX1/NCF4/MYH9/DENND4A/P2RY10/HGSNAT/PPFIBP2/EGR2/SH2B3/CSF1/CD69/CLEC7A/CPNE8/SNX10/CTSS/RPRD2/GORAB/TLR1/TMEM156/ACKR3/CXCR5/KMT2E/ZPBP2/TRIM13/MYL12A/PHIP/FMNL3/STARD10/IRF1/ZBTB37/ITGB8/TRAF1/DNAJB2/ICAM2/HIST1H2BB/NUP153/LIMD2/LAPTM5/RFTN1/ATAD2B/RFX5/STAT5A/ATP6V0A1/DOCK10/DENND3/MITD1/MLLT6/GPBP1L1/TMEM69/TNFAIP3/SLC3A2/WDR74/PKM/NINJ1/TSPOAP1/SF3B3/HTRA2/NOD2/TIMM21/AP3M2/LAT2/SNX8/COMMD3/SYTL3/GPR55/PRMT1/UVRAG/RNF213/ZBTB4/TP53/WRAP53/ADGRG5/NEIL2/NCOA1/UQCRC2/EHMT1/CLIC2/MCOLN2/ELK4/MKNK2/IL1RN/ICAM1/CCR8/IER3/NFIC/IGFLR1/MOB3A/ITGB2/GADD45B/JUNB	169
GO:182	GO:182	EGR1_MCF7_HG19	182/3750	478/12202	0.00028983962421443303	0.00418197172080825	0.00274584907150516	PDP1/NFE2L2/VPS26A/PPP2R5E/SLC39A9/SYBU/ATP6V1C1/COIL/CSTF3/CEP19/PIGX/HSPA8/ZDHHC23/NUCB2/OSBPL8/SDCBP/ANKMY2/AVPI1/AMZ2/TOMM70/SLC30A6/PDSS2/KHDC4/ANXA5/TPMT/N4BP2L1/UBL3/ZNF410/TMED10/TMPO/DNAJC2/B4GALT4/IL4R/ZNF484/RAD23B/EMP2/WDHD1/SOCS4/NCDN/NIPSNAP1/TMEM9B/MMAA/PNKD/NFXL1/SEH1L/ITFG1/RNF145/CNOT2/PRKCD/ING2/RNASEH1/TOPORS/NEDD4/OSGEP/DHX35/CARS2/SMPD1/UXS1/CD2BP2/BCKDK/FUS/PPP1R15B/AP2M1/CEP63/ANAPC13/RNF121/SQLE/TRIB1/DRAP1/ALKBH1/CIPC/SMYD5/ARRDC4/SLC9A8/FPGT/HAX1/ARAP2/DENND4A/TENT2/C2CD3/SETX/GPR107/OTUD7B/PIGP/DDX20/ESPL1/KPNA1/TIMP1/CERS6/PRPF40B/PPCS/DPY19L1/ACAD9/TWSG1/PAK4/CCNT1/PPFIA1/MIF4GD/PTGR1/KNTC1/CDK5RAP2/ZNF652/SLC36A1/GM2A/SFXN2/ARL3/ING4/KAT7/CASP9/STRADA/ATXN2L/LGMN/CLTC/TDRKH/NKIRAS2/THNSL1/ZNRF1/PGD/IMPAD1/MCEE/MPHOSPH10/FAN1/GTF2B/TADA3/ARPC4/JAGN1/UBFD1/USP22/PDCD11/LRRC46/EGR1/SEMA4F/TTI1/RPRD1B/USP31/SECISBP2/ZFC3H1/PAQR4/SIX5/VASP/PPDPF/NUP188/HNRNPUL1/CTDNEP1/ACADVL/TMEM181/KCTD10/CHAMP1/DSTYK/PLBD2/AKAP11/PNKP/MARK3/FMNL2/PLOD3/ZNHIT1/HNRNPLL/UPF3A/SPTAN1/WDR34/TMEM131/RFX2/TMEM87B/PABPC1L/FAM3C/IFT122/SPAG7/PIMREG/RNF139/KIF13B/ENTR1/CLUH/FBXO31/PTBP1/CEP72/SFSWAP/FAM168A/MED9/IER3/SERPINB1/TPGS1/GADD45B	182
GO:224	GO:224	FOXM1_ECC1_HG19	145/3750	372/12202	0.00036202097521974904	0.00431556678711593	0.00283356651994063	NFE2L2/SLC7A11/KLF6/KIF23/DUSP6/NUDCD2/HMMR/PTPN13/AASDH/SGO2/CLDN16/PDLIM1/ATF7IP/EMP1/IFT80/SMC4/SCLT1/TPX2/RAD21/MYOF/CEP55/PBX3/ANXA1/BHLHE40/CKAP5/CENPC/RCCD1/SKA3/ZDHHC20/SPATA5/CCNA2/ZBTB5/HDAC7/MTMR6/WARS2/FOS/TMPO/USP13/VANGL1/PCBD2/DLGAP5/E2F2/WEE1/CIT/E2F8/ASPM/MED19/TMX2/CCNG2/CALD1/GAS2L3/FMN1/TIMM9/ANLN/CTNNA1/UBE2T/CYTH3/PHACTR4/NUF2/KIF14/LRP6/CDKN1B/CDC42EP4/MALT1/KBTBD2/SUN2/RHEB/ATR/GRHL2/OIP5/HP1BP3/NUP98/NUMA1/TAGLN2/KIF18A/KIF2C/NEURL1B/RFC3/KCNE3/GNAI3/CLCF1/CDK2AP2/AFMID/PRR11/CENPO/KMT2E/ESPL1/NEK2/MYL12A/RHEBL1/TROAP/MIS12/PAK4/HJURP/CCNT1/ITGB8/GLRX5/CDK5RAP2/PHF19/BUB1/NCAPD2/CBX5/TAGLN/KCTD9/CDCA2/KIF15/KIF18B/RFWD3/NDC80/CDC20/DCLRE1C/YEATS4/WDR74/SEPHS1/PKM/PIM1/SF3B3/BRD8/WBP1/USP1/KPNB1/NUDT2/IFNAR1/PBK/MAEA/HNRNPUL1/TSHZ1/CKAP2L/TXNIP/DBP/AKAP11/DTYMK/RNF4/LDLR/CENPE/MAFB/ODF2/CDC25B/PIMREG/RACGAP1/TMEM205/NEIL3/IER3/PLS3/SYCE2	145
GO:507	GO:507	TEAD4_A549_HG19	105/3750	258/12202	0.000384555456277658	0.00431556678711593	0.00283356651994063	NFE2L2/MCM7/PDCD1LG2/LGALS8/NRP1/PNRC1/RIOK3/ATP6V1A/TEAD1/EHBP1/PTPN14/CLDN16/TCTN3/ANKRD2/AVPI1/CDK6/CAV1/ZNF367/PPP2CB/ZMYND11/ANXA1/DKK1/WDR92/PDE8A/LATS2/RIN2/HDAC7/JDP2/POLR3E/PLOD2/RAD23B/MNT/IER5/THAP6/CALD1/NCOA7/WWC2/PARP2/DAGLB/LRP6/KLF7/FAM186A/RTN4/PPP1R15B/PRMT5/TRIB1/CIPC/PLAU/TAGLN2/S100A13/HMGCS1/DUSP1/DIS3L/RNASE4/CLCF1/AFMID/OSMR/PRR11/BCL9L/KMT2E/MYL12A/HRH1/STARD10/ZNF461/DNAJB5/PLD1/KNTC1/POLG/NOLC1/CLTB/TIA1/CLTC/RAF1/DUSP14/SLC45A4/DENND3/ZNF76/LASP1/PLXDC1/WDR74/AHNAK/CTDSP2/PKM/TUBG2/SLC27A4/VPS28/SIX5/KNL1/ADAMTS10/B3GNT2/GSE1/AP2A1/GABPB2/CAPN2/SPTAN1/WDR34/CALM3/GINS1/PER1/PTPRH/SPAG7/TSPAN4/IER3/PLS3/CSRNP1	105
GO:471	GO:471	STAT1_K562_HG19	87/3750	214/12202	0.00120887467980025	0.011358899942526	0.00745816254694256	RHOBTB3/PPA1/MYD88/IFI44L/ALPK1/SAMD9/CCNL1/STOML1/MAPKAPK3/CISH/CEP162/CMPK2/RSAD2/ZNF410/KCTD14/CDK17/GNB4/TMEM62/ADPRHL2/THRAP3/LAMP1/KIF2A/UBE2L6/OCIAD2/NCOA7/DDX60/IRF2/IKZF4/STAT2/NUF2/GMPR/TXLNA/SMPD1/SLFN5/HELB/ECE1/CHRD/ARRDC4/GEN1/BRIX1/RAD1/IFIT5/DENND4A/SCAMP1/CSF1/ZC3HAV1/SOCS3/HINFP/EIF2B4/PSMB8/KMT2E/PARP14/DTX3L/DDX23/TNFSF10/CHMP5/TENT5A/IRF1/GSTK1/NUP153/NKAIN1/PRTFDC1/PEX14/MITD1/PIGC/C1RL/UBFD1/N4BP1/PBK/TXNIP/S100A11/ZNF473/VRK3/ISG20/TMEM87B/WARS/VIM/SMG1/PANK3/CLIC2/NR1H2/NADK/ICAM1/PHYKPL/TRIM14/IGFLR1/GDF15	87
