	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:170	GO:170	E2F4_MELCELLLINE_MM9	150/3750	356/12202	2.5990106721013803e-06	0.000262500077882239	0.000172355444570934		150
GO:390	GO:390	PAX5_GM12892_HG19	120/3750	288/12202	4.624810030380879e-05	0.00233552906534234	0.00153348964165261		120
GO:163	GO:163	DDX18	121/3750	296/12202	0.000115648661522188	0.0032888132421601103	0.00215940838203321		121
GO:513	GO:513	TEAD4_SKNSH_HG19	116/3750	284/12202	0.000164832185878771	0.0032888132421601103	0.00215940838203321		116
GO:459	GO:459	SREBF1_HEPG2_HG19	126/3750	313/12202	0.000184948821216387	0.0032888132421601103	0.00215940838203321		126
GO:400	GO:400	RELA_GM12878_HG19	169/3750	437/12202	0.000195375044088719	0.0032888132421601103	0.00215940838203321		169
GO:182	GO:182	EGR1_MCF7_HG19	182/3750	478/12202	0.00028983962421443303	0.00418197172080825	0.00274584907150516		182
GO:224	GO:224	FOXM1_ECC1_HG19	145/3750	372/12202	0.00036202097521974904	0.00431556678711593	0.00283356651994063		145
GO:507	GO:507	TEAD4_A549_HG19	105/3750	258/12202	0.000384555456277658	0.00431556678711593	0.00283356651994063		105
GO:471	GO:471	STAT1_K562_HG19	87/3750	214/12202	0.00120887467980025	0.011358899942526	0.00745816254694256		87
GO:435	GO:435	RXRA_HEPG2_HG19	108/3750	274/12202	0.00123710791453254	0.011358899942526	0.00745816254694256		108
GO:40	GO:40	CEBPB_MYOCYTE_MM9	149/3750	395/12202	0.00154536176708515	0.0130067948729667	0.00854015713389161		149
GO:42	GO:42	CEBPD_K562_HG19	152/3750	405/12202	0.0017702102274691602	0.0137531717672604	0.00903022221300057		152
GO:365	GO:365	NFIC_SKNSH_HG19	148/3750	395/12202	0.0021771436621082	0.0157065364194949	0.0103127857678809		148
GO:44	GO:44	CNPPD1	111/3750	288/12202	0.00260061757936185	0.0168485738194563	0.0110626383598306		111
GO:498	GO:498	TCF12_SKNSH_HG19	180/3750	492/12202	0.00266908100110199	0.0168485738194563	0.0110626383598306		180
