"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:163"	"GO:163"	"DDX18"	"102/2631"	"296/12202"	1.60488617275602e-07	1.62093503448358e-05	1.36837663150776e-05	"408/415/647/731/792/846/941/1166/1482/1531/1562/2115/2279/2420/3165/4898/5544/5687/5990/6001/6042/6214/6547/6652/6682/6939/8357/8719/8987/9445/9579/9989/10497/11469/12295/12337/12547/12975/13479/14316/14513/14949/15619/15748/16141/16213/16702/16751/16752/16836/16841/17577/17631/17707/17826/18166/18433/18979/19060/19208/19259/19304/19955/20327/21015/21048/21219/21282/21677/21749/21752/21980/22324/22474/22614/22780/23219/23507/23889/23960/24270/24632/25146/25216/25219/25321/26650/26703/26710/27049/27365/28827/29391/29446/29476/29780/29782/30096/30618/30931/31392/31426"	102
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"110/2631"	"356/12202"	1.93275612832067e-05	0.000976041844801941	0.00082396445470513	"591/592/630/974/1686/2597/2773/3833/3859/4602/4983/5095/6114/6438/6652/6764/7276/7729/7796/7818/7870/7871/7944/7954/7955/8094/8630/8993/9422/9596/9597/10856/11050/11421/11456/11583/12211/12670/12671/13573/14461/14984/15078/15525/15599/15737/15980/16055/16536/16629/17098/17266/17357/17463/18653/18758/19099/19245/19376/19405/19704/19761/19965/20103/20184/20327/20372/20543/20603/20728/20856/21076/21718/21795/22177/22493/22678/22780/22781/24865/24948/25052/25218/25247/25307/25351/25596/25634/25647/25881/26099/26288/26896/26985/27365/27402/28120/28269/28554/28555/28573/28653/29247/29250/29251/29958/30618/31294/32047/32137"	110
"GO:16"	"GO:16"	"BACH2"	"93/2631"	"309/12202"	0.000235065690085846	0.00791387823289014	0.00668081434980825	"431/647/731/792/1166/1531/2298/2584/3165/3201/4382/4839/4898/5683/5990/6001/6027/6042/6214/6241/6362/6652/6682/6939/6966/6984/7115/7175/8312/8357/8556/9445/10119/10311/10993/11057/11469/11581/11635/12295/12337/12387/12566/12984/13897/13904/14093/14513/15123/15223/15371/15748/15833/16005/16213/16702/16836/16841/17825/17852/18407/18987/19060/19208/19213/19690/20327/21219/21677/21752/21919/21933/21951/21980/22250/22825/24760/25881/26024/26242/27095/27547/28133/28236/28773/29081/29780/30203/30941/30984/31092/31392/31426"	93
"GO:288"	"GO:288"	"KEAP1"	"121/2631"	"426/12202"	0.00042390230067108	0.0102026033707648	0.00861293249642465	"7/414/415/647/792/846/1166/1420/1482/1663/2115/2420/2484/3089/4898/5348/5459/5842/6005/6042/6214/6230/6438/6451/6547/6984/7954/8307/8357/8580/8785/8786/9445/10194/10315/10497/11057/11136/11294/11456/11979/12010/12290/12295/12306/12337/12547/12747/13479/13757/13856/13897/13904/15748/16141/16213/16574/16752/16754/16836/16841/17577/17631/17716/17826/17852/18215/18433/18681/18946/19259/19362/19690/19697/20160/20494/21282/21718/21749/22324/22474/22761/22780/23219/23762/23900/24270/24410/24632/24760/24969/25052/25146/25219/25321/25597/26088/26127/26242/26650/26656/26703/27049/27163/27167/27237/27547/27580/28387/29039/29251/29495/29780/30939/31165/31217/31233/31314/31426/31511/32137"	121
"GO:4"	"GO:4"	"ASF1A"	"82/2631"	"272/12202"	0.000505079374790334	0.0102026033707648	0.00861293249642465	"7/43/680/846/1531/1562/2115/3089/3201/3629/5683/5687/5842/5885/6230/6394/6652/6984/8307/8311/8580/9445/10311/10399/11294/12039/12056/12295/12547/12566/12747/12984/13904/14318/14949/15078/15833/16213/16316/16752/16836/16841/17197/17284/17577/17852/19259/19376/21076/21282/21718/21749/21933/22250/22324/22893/23208/23219/23762/23889/23960/24240/25321/26242/26656/26703/27163/27365/27580/27603/28133/28773/29251/29780/29782/30203/30984/31233/31392/31426/32061/32137"	82
"GO:512"	"GO:512"	"TEAD4_MCF7_HG19"	"31/2631"	"85/12202"	0.00115062965769314	0.0193689325711678	0.0163510530303762	"2279/2386/2559/4646/5738/6120/7085/7311/11226/11289/15117/16656/16767/16821/17495/17975/18653/18722/18723/19404/19911/20528/21798/22250/25562/25732/27371/27734/28319/28899/32221"	31
"GO:405"	"GO:405"	"RELA_GM18526_HG19"	"134/2631"	"495/12202"	0.00175824445524956	0.025368955711458	0.021416210657927	"403/414/418/683/685/731/792/964/1377/1497/1515/1616/2559/3122/3201/3211/3969/4298/4443/4695/4710/4839/4933/5216/5420/5872/6114/6230/6451/6937/7380/7655/7870/8633/8719/9578/9704/9738/10121/10223/10596/11017/11048/11292/11349/11438/11856/11920/12776/13256/13549/14144/14191/14273/14976/16376/16530/17027/17319/17357/17786/18174/18176/18238/18931/18946/18947/19304/19348/19376/19521/19776/19856/19885/19911/19973/20168/20372/20400/20401/20499/20687/21180/21247/21565/21665/21733/21881/22051/22053/22164/22250/22265/22363/22523/22673/22735/23219/23694/24095/24239/24250/24378/24700/24763/25137/25146/25186/25578/25592/25593/25692/25846/26247/26525/26614/26703/26710/27163/27402/28070/28119/28446/28737/28779/29476/30111/30431/30558/30577/30931/31765/32202/33337"	134
"GO:513"	"GO:513"	"TEAD4_SKNSH_HG19"	"80/2631"	"284/12202"	0.00470626467576833	0.0594165915315752	0.0501588735180572	"213/591/592/697/731/792/1094/1663/1722/2298/2386/2404/2559/2584/2585/2652/2831/5010/5159/6120/7066/7085/7289/7311/7958/9228/9368/10006/10689/11289/12271/13425/13590/13814/13832/14358/14468/14501/15117/15166/15210/15716/16302/16656/16821/17671/18653/18722/18723/19278/19404/19521/19805/19911/19973/20528/20576/21568/21911/22164/22250/22322/22523/22857/24429/25562/25732/26288/27698/27734/28511/29039/29102/29113/31219/31278/31458/32157/32221/33337"	80
"GO:507"	"GO:507"	"TEAD4_A549_HG19"	"73/2631"	"258/12202"	0.00597872390548333	0.0670945682726463	0.0566405422624737	"591/592/1616/2386/2559/2584/2585/2831/4123/5267/5492/6086/6120/6707/7085/7311/7942/7958/9368/10689/11007/11182/11226/11289/12205/12968/13425/13814/13832/14008/14169/14358/15117/16656/16708/16754/16767/16821/18242/18653/18722/18723/19376/19404/19547/19973/20528/21568/21677/21798/21800/22250/22857/23293/23366/23510/24240/24284/24429/25562/25578/25732/25766/25895/26530/27365/27698/27734/28133/28727/28779/28899/29631"	73
"GO:514"	"GO:514"	"TEN1.CDK3"	"55/2631"	"188/12202"	0.00769794175301598	0.0767799220294102	0.0648168179716751	"647/941/1166/2066/2298/4123/4839/4898/6214/6241/6362/6394/6547/6652/6682/6966/6984/7175/8357/8556/9445/10119/10257/10311/11349/11635/12337/12387/13897/14093/14318/14513/15223/15371/15748/16005/16702/16836/18346/18433/18987/19208/21933/21980/22250/22474/22800/23376/28133/28236/28773/28827/30984/31092/31392"	55
