"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:437"	"GO:437"	"SERGEF"	"82/1839"	"401/12202"	0.00196135619100918	0.098190757828788	0.0839149780298136	"763/775/792/1152/2064/2290/3156/3709/3957/4268/4657/5286/5491/6020/6214/6240/6451/6530/6539/6648/6652/6659/8153/8455/8677/8719/9445/9777/9827/10119/10257/10438/10787/11928/12070/12295/12387/12389/12532/13175/13299/13588/14398/15090/15748/16464/16589/16836/17303/17626/17864/18076/18181/18286/18428/18789/19258/21247/21718/22474/24027/24353/24637/24789/25679/25695/25783/26416/26832/27037/27365/28773/29088/29450/29918/30766/30939/31092/31240/31392/31578/33326"	82
"GO:372"	"GO:372"	"NR2C2_GM12878_HG19"	"78/1839"	"381/12202"	0.00241340260743286	0.098190757828788	0.0839149780298136	"308/763/1223/1603/2263/2441/2572/3202/4128/4188/4380/4870/4925/5964/6143/6380/7380/8090/10438/10544/10600/10992/11472/11989/12002/12003/12457/12969/13223/13944/13945/13992/13993/14127/14173/15635/15726/15748/16774/17183/17435/18884/19942/20491/20492/21122/21435/22479/22676/22893/22894/23345/23959/23995/24027/24028/24224/24429/24612/25030/25629/25674/25842/26118/26200/26239/27000/27359/27381/27768/28730/29027/29139/29782/30830/30905/31324/32300"	78
"GO:433"	"GO:433"	"RXRA_GM12878_HG19"	"42/1839"	"183/12202"	0.00291655716323133	0.098190757828788	0.0839149780298136	"403/2406/3940/4754/5010/5491/5690/6143/8506/9799/10835/11003/12033/12547/12630/13299/13716/13948/13961/16055/16846/17266/19880/20491/21041/21247/21946/21999/23328/25040/25783/26234/26584/27134/27402/27760/28379/28389/29918/31146/32299/33326"	42
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"72/1839"	"356/12202"	0.00473027535854176	0.119439452803179	0.102074363000112	"169/3301/4602/5835/5986/6652/7381/7729/7870/8455/8484/8652/8677/9597/11022/11050/11456/13716/14502/14631/14984/15078/15737/15741/15860/15862/16055/16326/16536/16720/16952/17266/17356/17357/17837/19209/19245/19545/19692/19704/19761/20103/20184/20543/20728/21717/21718/22256/22449/22780/22781/24671/24948/25218/25247/26087/26099/26435/26920/27334/27365/27402/27760/28269/28573/29958/29985/30315/30426/32034/32047/32557"	72
"GO:42"	"GO:42"	"CEBPD_K562_HG19"	"79/1839"	"405/12202"	0.00824406065100019	0.166530025150204	0.142318520712003	"74/169/775/797/1223/1421/2441/3001/3254/3338/3496/3989/4350/4602/4657/5057/5547/5880/6143/6704/7641/8322/8677/8719/9834/10835/10971/11007/11963/11989/12003/12269/13721/13723/13814/14186/15664/16244/16539/16846/17014/17197/17810/17858/18076/19041/19521/19856/19983/20014/20294/21398/21999/23369/23708/23899/24020/24429/24675/24683/24952/25146/25732/26088/26234/26242/27365/27402/27868/28022/28171/28725/28779/29239/29631/31293/31355/32099/33326"	79
"GO:513"	"GO:513"	"TEAD4_SKNSH_HG19"	"57/1839"	"284/12202"	0.0128799619737685	0.189228704104581	0.161717079068011	"66/534/697/792/2406/2585/2652/2725/2831/3708/5010/5057/6143/6188/6531/6921/7066/7311/9834/11588/12271/12374/13247/13425/13814/13832/13958/14501/14670/14764/15166/15210/15716/15776/16302/16326/16821/19277/19521/19692/20491/21911/22322/23243/23786/24429/24675/24689/24789/25058/25732/26805/27737/27752/29599/29629/30229"	57
"GO:266"	"GO:266"	"IRF3_HEPG2_HG19"	"93/1839"	"496/12202"	0.0131148606805155	0.189228704104581	0.161717079068011	"301/1445/2328/2555/3350/3782/3937/4376/4811/4925/5333/6659/6844/6909/6921/7412/7641/7870/8090/8109/8203/8506/8513/9370/9997/10222/11119/11216/11317/12233/12532/12759/13792/13944/13945/14144/14984/16732/17266/17426/17716/18076/18783/18928/18931/18947/19209/19628/19704/19870/19872/20083/20084/20293/20500/21542/21677/21754/21796/22093/22558/23507/23638/23640/23859/23861/23899/24520/24678/24817/25352/25451/25575/25789/26118/26131/26258/26317/26805/26832/27136/27334/27536/27715/27770/28006/29879/30721/30905/31511/31676/32519/32557"	93
"GO:160"	"GO:160"	"CUL2"	"35/1839"	"163/12202"	0.0174032919149047	0.197945187404944	0.169166288350239	"645/1076/2064/2290/2484/2551/2725/3156/3629/5286/6432/6539/9124/9777/12547/14398/14949/15078/15090/15748/16674/16836/17303/17810/18789/22474/22893/23914/24027/25783/26242/27163/31104/31392/31939"	35
"GO:397"	"GO:397"	"PTPRE"	"80/1839"	"426/12202"	0.0195704875666007	0.197945187404944	0.169166288350239	"775/792/1152/1402/2290/3709/3957/4268/5491/5683/6020/6214/6451/6539/6648/6659/7284/7484/7965/8055/8324/8455/8719/9445/9777/10119/10257/10438/10787/11469/11525/11703/12295/12387/12389/12984/13175/13299/13588/14949/15090/15292/15748/16005/16190/16228/16464/16589/16836/17303/17716/17858/17864/18076/18286/18428/18789/20070/21247/21763/22023/22438/22474/24353/24637/24789/25695/26832/26840/27037/27365/29088/29450/30695/30766/30939/31092/31240/31578/32746"	80
"GO:247"	"GO:247"	"GATA2_G1E_MM9"	"49/1839"	"244/12202"	0.0197588057415706	0.197945187404944	0.169166288350239	"66/553/792/4749/6302/6539/7011/8109/9799/10719/10855/11314/12107/13092/13093/14624/14867/15033/15149/16674/16732/17014/19080/19545/20083/20084/20583/20733/21041/21244/23076/23081/23995/24070/25221/26036/26037/26088/26463/27165/27724/28006/30111/30334/31355/31401/31578/32300/32519"	49
"GO:514"	"GO:514"	"TEN1.CDK3"	"39/1839"	"188/12202"	0.0215583867470731	0.197945187404944	0.169166288350239	"763/2064/2066/2401/5286/6214/6539/6648/6652/6659/7284/8455/9445/9777/10119/10257/12387/13175/13588/14513/15090/15748/16005/16836/17303/17864/18789/22474/23376/24468/24637/24789/25695/26832/27037/28773/31092/31392/31578"	39
"GO:464"	"GO:464"	"SRF_HCT116_HG19"	"51/1839"	"260/12202"	0.0266317810088645	0.212411354247493	0.181529244901453	"2263/2682/3556/3940/5672/5986/6188/6531/6659/6704/6732/8484/10551/10573/10844/11138/11491/13716/14127/14187/14619/17309/17583/18927/19412/19648/19756/19942/20095/22284/22322/22479/22696/24789/25138/25352/26083/26200/26416/26902/27136/27359/27768/28914/29088/29631/30939/31030/31630/31674/31678"	51
"GO:471"	"GO:471"	"STAT1_K562_HG19"	"43/1839"	"214/12202"	0.0273400752991822	0.212411354247493	0.181529244901453	"1458/2758/3387/5892/6346/6432/6433/7217/8057/8205/8564/9258/9834/9890/9964/11525/11979/12250/13464/14477/14764/16332/16867/17592/17593/18076/20182/20742/21041/21556/21671/22599/24223/26520/27343/27587/27609/28241/29088/30869/31392/31764/32300"	43
"GO:274"	"GO:274"	"JUND_A549_HG19"	"75/1839"	"406/12202"	0.0326501767828323	0.23554770393329	0.201301841818966	"589/792/1522/1801/2263/3299/3301/3375/3609/3629/3782/4754/5190/5337/6284/7079/7311/8735/9777/9917/10262/10264/10532/10767/10835/10917/11003/11136/11148/11525/12003/12070/12269/12389/12547/12969/13425/13588/14519/15191/16244/16326/16496/16536/17583/17810/17864/18766/20492/21041/21247/21284/21435/21946/22284/22502/23369/23371/23574/24772/26033/26041/26584/27359/27381/28688/29339/29489/29631/29880/30939/31056/31355/32202/32383"	75
"GO:356"	"GO:356"	"MYOG_C2C12_MM9"	"38/1839"	"190/12202"	0.03864491635021	0.250402971381353	0.213997328330078	"1/455/2652/3349/6214/6844/7965/11003/12022/12269/12389/13913/13945/13958/17939/18928/19314/19521/19949/19983/21301/21701/25688/26131/26460/26715/27000/27134/27440/27546/27952/27953/28637/28725/28779/29623/31578/32300"	38
"GO:202"	"GO:202"	"ETS1_GM12878_HG19"	"26/1839"	"122/12202"	0.039667797446551	0.250402971381353	0.213997328330078	"403/661/2406/5762/6853/10264/10600/12457/12971/13996/15065/15576/17716/19041/19080/21284/21999/23476/23507/24490/25777/25783/26242/28389/31352/31382"	26
"GO:375"	"GO:375"	"NR2C2_K562_HG19"	"47/1839"	"244/12202"	0.0426111793588414	0.251018316993668	0.214523209937267	"308/763/1223/2263/2441/2572/3202/4128/4188/4870/5964/6380/7380/8090/10438/10544/11138/12002/12003/12969/13223/13944/13992/13993/14127/15748/16774/17435/20491/20492/21122/21435/22479/22676/22893/22894/23995/24224/24429/24612/25629/26200/27000/27359/27381/27768/29782"	47
"GO:40"	"GO:40"	"CEBPB_MYOCYTE_MM9"	"72/1839"	"395/12202"	0.0460775469688468	0.251018316993668	0.214523209937267	"403/553/797/1001/1395/1458/1476/2290/3609/3799/3937/4214/4350/4380/5333/5463/5919/6290/6853/7072/7125/7228/7641/8109/8159/8490/9717/9718/9917/10835/11050/11190/11827/11963/12002/12003/12269/13092/13093/13814/14676/15166/15191/16055/16843/17183/17186/17197/18076/19692/19866/20773/21598/23708/23899/24027/24028/24150/24549/25138/25732/26224/26354/26677/26839/27165/27548/27715/28578/28688/29851/33326"	72
"GO:261"	"GO:261"	"HSF1_HEPG2_HG19"	"29/1839"	"141/12202"	0.0472212675532642	0.251018316993668	0.214523209937267	"1445/1864/2406/4498/6451/6635/7311/9834/13425/13996/14144/16821/19618/19667/19856/20092/21557/22850/23243/25732/26088/26520/26614/26907/28022/29035/29629/29631/32557"	29
"GO:32"	"GO:32"	"CEBPB_GM12878_HG19"	"63/1839"	"343/12202"	0.0517514943944412	0.261345046691928	0.223348554754957	"403/1801/2263/3989/4657/4754/4822/5491/5690/5696/6451/7011/7079/7311/7641/9777/9834/9985/10551/10971/11003/11525/12002/12003/12777/13425/13941/13961/14127/15723/16496/16821/17186/17810/17858/17990/18031/19152/19521/20092/21041/21284/22821/22924/23212/23243/23574/23708/23830/23995/24490/25040/25732/25783/26584/27134/27359/28379/29239/29631/31674/32034/33326"	63
