"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	1.51162149805768e-211	0.509925568871386	0.955	0.872	7.55810749028841e-208	"0"	"ENSDNOG00000031516"
"2"	1.0075544692811e-195	0.43733398517142	0.629	0.454	5.03777234640549e-192	"0"	"ENSDNOG00000002864"
"3"	3.49301062760488e-171	3.75871360748331	0.675	0.505	1.74650531380244e-167	"0"	"ENSDNOG00000006106"
"4"	2.14676161527244e-166	7.97610493945395	0.666	0.494	1.07338080763622e-162	"0"	"ENSDNOG00000035836"
"5"	5.43459405247917e-165	0.487240203859729	0.646	0.474	2.71729702623959e-161	"0"	"ENSDNOG00000041692"
"6"	5.89088941383891e-165	0.350023495404481	0.625	0.454	2.94544470691945e-161	"0"	"ENSDNOG00000007075"
"7"	7.32363110274758e-133	0.897559256998601	0.561	0.397	3.66181555137379e-129	"0"	"ENSDNOG00000048366"
"8"	1.44638481970033e-130	5.06822808225586	0.627	0.471	7.23192409850164e-127	"0"	"ENSDNOG00000040589"
"9"	2.24340671314297e-97	0.253508228457468	0.742	0.618	1.12170335657149e-93	"0"	"ENSDNOG00000040880"
"10"	1.04281883045535e-93	0.303848457227445	0.475	0.345	5.21409415227675e-90	"0"	"ENSDNOG00000031789"
"11"	1.35394695860178e-90	0.290440792716393	0.896	0.809	6.7697347930089e-87	"0"	"ENSDNOG00000049169"
"12"	1.87762492497982e-89	0.623830173138945	0.782	0.649	9.3881246248991e-86	"0"	"ENSDNOG00000049325"
"13"	1.48699132327974e-82	2.24699470424805	0.763	0.631	7.43495661639872e-79	"0"	"ENSDNOG00000042948"
"14"	6.58419125645932e-78	0.350001181409906	0.723	0.578	3.29209562822966e-74	"0"	"ENSDNOG00000034943"
"15"	6.97710301247707e-78	4.29708241199815	0.361	0.236	3.48855150623853e-74	"0"	"ENSDNOG00000037382"
"16"	3.303061767696e-76	0.276586758368512	0.725	0.583	1.651530883848e-72	"0"	"ENSDNOG00000047826"
"17"	1.10083404769992e-74	0.403390499883733	0.758	0.61	5.50417023849958e-71	"0"	"ENSDNOG00000036956"
"18"	7.786792304412e-62	0.377428418236592	0.752	0.611	3.893396152206e-58	"0"	"ENSDNOG00000048538"
"19"	1.26883309531219e-60	0.352061549566345	0.731	0.596	6.34416547656095e-57	"0"	"ENSDNOG00000018269"
"20"	9.84188485134596e-60	0.272290240596427	0.778	0.66	4.92094242567298e-56	"0"	"ENSDNOG00000046404"
"21"	1.2554562223648e-59	0.261878422457248	0.905	0.846	6.27728111182399e-56	"0"	"ENSDNOG00000046042"
"22"	2.91087662089328e-58	5.0975581254255	0.729	0.617	1.45543831044664e-54	"0"	"ENSDNOG00000034951"
"23"	4.26175410114838e-58	0.310968401560714	0.886	0.803	2.13087705057419e-54	"0"	"ENSDNOG00000019230"
"24"	1.75951624934366e-53	0.29676036315095	0.964	0.929	8.79758124671831e-50	"0"	"ENSDNOG00000038555"
"25"	1.19045365404767e-45	0.263996390265169	0.669	0.536	5.95226827023836e-42	"0"	"ENSDNOG00000042290"
"26"	1.47328562950726e-44	0.60891459385086	0.341	0.274	7.3664281475363e-41	"0"	"ENSDNOG00000042103"
"27"	2.06049184241047e-40	0.329537477224823	0.503	0.383	1.03024592120524e-36	"0"	"ENSDNOG00000051663"
"28"	1.50124124417233e-38	4.86478050081043	0.377	0.269	7.50620622086163e-35	"0"	"ENSDNOG00000025252"
"29"	2.66044605953207e-38	0.519891219061195	0.554	0.437	1.33022302976603e-34	"0"	"ENSDNOG00000025188"
"30"	6.62145468544808e-37	1.8437849431323	0.863	0.785	3.31072734272404e-33	"0"	"ENSDNOG00000004237"
"31"	6.36222129993846e-36	0.321059595766456	0.765	0.649	3.18111064996923e-32	"0"	"ENSDNOG00000046032"
"32"	6.38907268865778e-35	0.284942063519605	0.882	0.812	3.19453634432889e-31	"0"	"ENSDNOG00000033443"
"33"	7.83639733066094e-35	0.451876963742489	0.841	0.769	3.91819866533047e-31	"0"	"ENSDNOG00000039572"
"34"	3.87597883667406e-28	0.951517912605451	0.401	0.257	1.93798941833703e-24	"0"	"ENSDNOG00000044236"
"35"	7.88659976682965e-28	7.71269055602385	0.414	0.404	3.94329988341482e-24	"0"	"ENSDNOG00000025323"
"36"	1.19052863467423e-27	3.06095514235481	0.653	0.57	5.95264317337113e-24	"0"	"ENSDNOG00000030813"
"37"	5.64248952337889e-26	0.299471501718459	0.779	0.681	2.82124476168944e-22	"0"	"ENSDNOG00000036172"
"38"	1.99640017088662e-25	13.8884490183682	0.435	0.316	9.9820008544331e-22	"0"	"ENSDNOG00000032097"
"39"	1.89844896287368e-23	0.779111336980801	0.769	0.66	9.49224481436841e-20	"0"	"ENSDNOG00000042636"
"40"	2.20122652992346e-21	3.94892284888725	0.619	0.516	1.10061326496173e-17	"0"	"ENSDNOG00000041090"
"41"	1.88297308868685e-20	0.262346024990037	0.561	0.481	9.41486544343423e-17	"0"	"ENSDNOG00000044231"
"42"	4.65998025278506e-20	0.597100411149058	0.669	0.575	2.32999012639253e-16	"0"	"ENSDNOG00000042660"
"43"	3.53283575170563e-19	0.477086875786768	0.513	0.415	1.76641787585282e-15	"0"	"ENSDNOG00000041454"
"44"	1.42775012880331e-18	0.294875281651721	0.528	0.45	7.13875064401657e-15	"0"	"ENSDNOG00000037681"
"45"	5.00021491002866e-17	0.672268709296786	0.298	0.152	2.50010745501433e-13	"0"	"ENSDNOG00000048341"
"46"	1.45030320141481e-15	0.485506957967251	0.42	0.31	7.25151600707407e-12	"0"	"ENSDNOG00000046896"
"47"	1.8937871380882e-15	0.988726352564519	0.423	0.317	9.46893569044101e-12	"0"	"ENSDNOG00000048359"
"48"	1.97169820283092e-15	1.44497386617933	0.399	0.298	9.85849101415462e-12	"0"	"ENSDNOG00000000377"
"49"	3.27932232870394e-15	0.469633938442012	0.511	0.424	1.63966116435197e-11	"0"	"ENSDNOG00000046532"
"50"	6.06941979362226e-14	0.306383703168543	0.774	0.72	3.03470989681113e-10	"0"	"ENSDNOG00000032905"
"51"	1.24801586855504e-11	0.374238994602458	0.327	0.259	6.24007934277518e-08	"0"	"ENSDNOG00000005710"
"52"	2.2642597755398e-11	5.09616557300098	0.463	0.365	1.1321298877699e-07	"0"	"ENSDNOG00000030654"
"53"	2.99460427961283e-11	0.470772667224553	0.396	0.289	1.49730213980642e-07	"0"	"ENSDNOG00000032383"
