"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	1.688860234654e-165	0.29318235127602	1	1	8.44430117327002e-162	"0"	"ENSDNOG00000025237"
"2"	7.78952263135426e-147	0.312281664235759	1	1	3.89476131567713e-143	"0"	"ENSDNOG00000001344"
"3"	1.67738342767601e-146	0.265881480458539	0.998	0.999	8.38691713838003e-143	"0"	"ENSDNOG00000011860"
"4"	4.48617175708914e-132	0.754215225467388	0.998	1	2.24308587854457e-128	"0"	"ENSDNOG00000031516"
"5"	2.81059340618446e-129	0.394170625858151	1	1	1.40529670309223e-125	"0"	"ENSDNOG00000019583"
"6"	1.92815991179286e-108	0.27875798328836	0.999	1	9.64079955896428e-105	"0"	"ENSDNOG00000046358"
"7"	1.43502771821741e-103	0.305827303598101	0.997	0.99	7.17513859108705e-100	"0"	"ENSDNOG00000040082"
"8"	2.42450457660693e-99	0.433469739127718	1	1	1.21225228830347e-95	"0"	"ENSDNOG00000018812"
"9"	9.40485182090526e-97	0.371701291250535	1	1	4.70242591045263e-93	"0"	"ENSDNOG00000011305"
"10"	3.8702487316116e-95	0.313038404712139	0.999	0.999	1.9351243658058e-91	"0"	"ENSDNOG00000011425"
"11"	6.69900309845104e-95	0.543355125732125	0.264	0.228	3.34950154922552e-91	"0"	"ENSDNOG00000038966"
"12"	2.15571756022696e-91	0.429437274522672	0.999	1	1.07785878011348e-87	"0"	"ENSDNOG00000002067"
"13"	2.11490025692017e-90	3.97735810344641	0.954	0.88	1.05745012846008e-86	"0"	"ENSDNOG00000006106"
"14"	2.27238603391453e-83	0.565260320181225	0.991	0.996	1.13619301695727e-79	"0"	"ENSDNOG00000049169"
"15"	3.78383206201275e-81	0.773640759986578	1	1	1.89191603100638e-77	"0"	"ENSDNOG00000019230"
"16"	8.32920396481817e-80	2.6274723475212	0.999	0.998	4.16460198240908e-76	"0"	"ENSDNOG00000004237"
"17"	3.1008444992724e-79	0.264575541180841	0.996	0.996	1.5504222496362e-75	"0"	"ENSDNOG00000035115"
"18"	5.12212168018486e-79	0.582680216726076	1	1	2.56106084009243e-75	"0"	"ENSDNOG00000038555"
"19"	3.40717103495504e-75	0.290463899543387	0.998	0.998	1.70358551747752e-71	"0"	"ENSDNOG00000012944"
"20"	9.94677766509892e-75	0.381543506691694	1	1	4.97338883254946e-71	"0"	"ENSDNOG00000046934"
"21"	5.31384989633506e-72	0.324456454986961	1	1	2.65692494816753e-68	"0"	"ENSDNOG00000035525"
"22"	3.44086394236279e-71	0.273520700687012	0.999	1	1.7204319711814e-67	"0"	"ENSDNOG00000008396"
"23"	5.16970616611516e-71	1.17912373595972	0.807	0.72	2.58485308305758e-67	"0"	"ENSDNOG00000048366"
