"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	0.255788423531352	1	0.999	0	"0"	"ENSDNOG00000036640"
"2"	2.31397285827206e-251	0.278850327323582	0.999	0.996	1.15698642913603e-247	"0"	"ENSDNOG00000045117"
"3"	1.37320483019542e-146	0.413940732147526	0.876	0.759	6.86602415097708e-143	"0"	"ENSDNOG00000031516"
"4"	9.00616697124391e-38	0.373477766186833	0.261	0.18	4.50308348562196e-34	"0"	"ENSDNOG00000006191"
"5"	4.05841871714215e-37	0.301290143882997	0.329	0.24	2.02920935857107e-33	"0"	"ENSDNOG00000037681"
"6"	2.45251284228198e-36	0.276126878570691	0.389	0.307	1.22625642114099e-32	"0"	"ENSDNOG00000016460"
"7"	1.90568889808232e-27	0.354546016483055	0.368	0.305	9.52844449041158e-24	"0"	"ENSDNOG00000040880"
"8"	5.34261098249447e-20	0.425157143596264	0.322	0.266	2.67130549124723e-16	"0"	"ENSDNOG00000036956"
"9"	1.77286394628854e-12	0.272242759016021	0.318	0.271	8.86431973144271e-09	"0"	"ENSDNOG00000048538"
"10"	7.4328702483089e-154	0.628412019865261	0.418	0.206	3.71643512415445e-150	"1"	"ENSDNOG00000030607"
"11"	1.30352265885741e-131	0.611183487942932	0.268	0.105	6.51761329428705e-128	"1"	"ENSDNOG00000048404"
"12"	3.50595432352793e-101	0.620893753873797	0.501	0.33	1.75297716176396e-97	"1"	"ENSDNOG00000046032"
"13"	2.18409285416103e-99	0.664603756732616	0.413	0.249	1.09204642708052e-95	"1"	"ENSDNOG00000035479"
"14"	4.65619383335712e-94	0.459271204091202	0.334	0.177	2.32809691667856e-90	"1"	"ENSDNOG00000052916"
"15"	3.14908397162271e-93	0.518394066765591	0.403	0.234	1.57454198581136e-89	"1"	"ENSDNOG00000025512"
"16"	3.56329742138295e-88	0.480007901788047	0.505	0.338	1.78164871069147e-84	"1"	"ENSDNOG00000019896"
"17"	3.11585676627631e-83	0.330229701494198	0.747	0.597	1.55792838313815e-79	"1"	"ENSDNOG00000018024"
"18"	5.74804391986727e-80	0.452091568193169	0.406	0.246	2.87402195993364e-76	"1"	"ENSDNOG00000052098"
"19"	9.43925223996104e-80	0.473122808200074	0.682	0.537	4.71962611998052e-76	"1"	"ENSDNOG00000043957"
"20"	1.51471265026047e-78	0.608328149530712	0.379	0.231	7.57356325130233e-75	"1"	"ENSDNOG00000034943"
"21"	7.41364088640394e-75	0.756343488985553	0.318	0.176	3.70682044320197e-71	"1"	"ENSDNOG00000048965"
"22"	2.67904541847146e-70	0.556136720276717	0.407	0.257	1.33952270923573e-66	"1"	"ENSDNOG00000018894"
"23"	1.40803953703738e-65	0.585009129820608	0.403	0.257	7.04019768518689e-62	"1"	"ENSDNOG00000048538"
"24"	2.66871907257787e-65	0.371421537014207	0.283	0.157	1.33435953628893e-61	"1"	"ENSDNOG00000007325"
"25"	3.88511223971879e-65	0.281954506821592	0.421	0.264	1.94255611985939e-61	"1"	"ENSDNOG00000039116"
"26"	7.05287884611876e-65	0.382106775773115	0.381	0.235	3.52643942305938e-61	"1"	"ENSDNOG00000031609"
"27"	1.2234117584311e-62	0.675369355746176	0.383	0.243	6.1170587921555e-59	"1"	"ENSDNOG00000038062"
"28"	1.83662440161593e-62	0.323907319954735	0.821	0.74	9.18312200807964e-59	"1"	"ENSDNOG00000032671"
"29"	2.52548791827407e-61	0.317121605778713	0.34	0.204	1.26274395913704e-57	"1"	"ENSDNOG00000035897"
"30"	2.13149102629939e-60	0.393236173449674	0.402	0.248	1.06574551314969e-56	"1"	"ENSDNOG00000018269"
"31"	5.45639075606572e-60	0.398995339211175	0.359	0.219	2.72819537803286e-56	"1"	"ENSDNOG00000041090"
"32"	1.12139550690113e-58	0.380526202201058	0.251	0.137	5.60697753450566e-55	"1"	"ENSDNOG00000039053"
"33"	6.00851004749614e-58	0.358379024275123	0.373	0.239	3.00425502374807e-54	"1"	"ENSDNOG00000030671"
"34"	6.74012048864709e-58	0.252904607767818	0.971	0.956	3.37006024432355e-54	"1"	"ENSDNOG00000046934"
"35"	7.82602647016087e-58	0.533099405653154	0.396	0.256	3.91301323508043e-54	"1"	"ENSDNOG00000036956"
"36"	1.44935632049503e-57	0.350149660467838	0.334	0.203	7.24678160247517e-54	"1"	"ENSDNOG00000018150"
"37"	1.48418336878291e-57	0.402885622690559	0.462	0.321	7.42091684391456e-54	"1"	"ENSDNOG00000047673"
"38"	7.25269166429813e-57	0.448057755725792	0.479	0.347	3.62634583214907e-53	"1"	"ENSDNOG00000033138"
"39"	3.9624952259517e-56	0.600473012332748	0.281	0.163	1.98124761297585e-52	"1"	"ENSDNOG00000049803"
"40"	3.4027772336155e-55	0.305448413322685	0.372	0.23	1.70138861680775e-51	"1"	"ENSDNOG00000047826"
"41"	7.05330467025053e-55	0.362921132071993	0.485	0.352	3.52665233512526e-51	"1"	"ENSDNOG00000036598"
"42"	7.938910529096e-55	0.312950216577076	0.319	0.191	3.969455264548e-51	"1"	"ENSDNOG00000040814"
"43"	9.01844666154194e-55	0.306643055030554	0.431	0.293	4.50922333077097e-51	"1"	"ENSDNOG00000004045"
"44"	1.16223422322387e-54	0.299548058222531	0.795	0.706	5.81117111611933e-51	"1"	"ENSDNOG00000046042"
"45"	4.29981637690602e-54	0.357682052534429	0.319	0.192	2.14990818845301e-50	"1"	"ENSDNOG00000051663"
"46"	9.45754738607625e-50	0.356420394489355	0.323	0.2	4.72877369303813e-46	"1"	"ENSDNOG00000033465"
"47"	1.88946884193307e-49	0.31030317021067	0.362	0.235	9.44734420966535e-46	"1"	"ENSDNOG00000041462"
"48"	1.27636762492707e-48	0.275334228816977	0.315	0.195	6.38183812463537e-45	"1"	"ENSDNOG00000048864"
"49"	1.30095317970579e-47	0.284872357465441	0.365	0.232	6.50476589852893e-44	"1"	"ENSDNOG00000035200"
"50"	2.22623824841352e-46	0.277439744811104	0.439	0.311	1.11311912420676e-42	"1"	"ENSDNOG00000043562"
"51"	1.6638766740817e-45	0.264120475646883	0.422	0.289	8.31938337040851e-42	"1"	"ENSDNOG00000042660"
"52"	7.29201183850271e-45	0.332538874727167	0.515	0.387	3.64600591925136e-41	"1"	"ENSDNOG00000036172"
"53"	6.17410429468272e-44	0.259527137779789	0.376	0.252	3.08705214734136e-40	"1"	"ENSDNOG00000018450"
"54"	2.09954865201003e-43	0.275745401242403	0.55	0.426	1.04977432600501e-39	"1"	"ENSDNOG00000034363"
"55"	2.40141346248384e-43	0.28769098122811	0.28	0.172	1.20070673124192e-39	"1"	"ENSDNOG00000034707"
"56"	3.03522748318243e-42	0.289832215419527	0.356	0.237	1.51761374159121e-38	"1"	"ENSDNOG00000019028"
"57"	5.70706202152708e-42	0.28283690138508	0.287	0.18	2.85353101076354e-38	"1"	"ENSDNOG00000039749"
"58"	3.8046507019569e-41	0.251667811266149	0.279	0.171	1.90232535097845e-37	"1"	"ENSDNOG00000031036"
"59"	3.59397447488179e-40	0.281258857583321	0.274	0.168	1.79698723744089e-36	"1"	"ENSDNOG00000030913"
"60"	3.91806265519174e-39	0.28313297070564	0.361	0.245	1.95903132759587e-35	"1"	"ENSDNOG00000037681"
"61"	5.10683935811357e-39	0.26597531673759	0.305	0.202	2.55341967905678e-35	"1"	"ENSDNOG00000044633"
"62"	5.28424179217199e-39	0.29230134736049	0.595	0.501	2.64212089608599e-35	"1"	"ENSDNOG00000039611"
"63"	1.54470894082759e-38	0.256614415831174	0.278	0.175	7.72354470413796e-35	"1"	"ENSDNOG00000007884"
"64"	5.80007456337123e-38	0.325973599353508	0.609	0.504	2.90003728168561e-34	"1"	"ENSDNOG00000033767"
"65"	9.08611811427864e-38	0.250605579727201	0.263	0.165	4.54305905713932e-34	"1"	"ENSDNOG00000038898"
"66"	1.93744482827915e-34	0.267717393315786	0.423	0.314	9.68722414139574e-31	"1"	"ENSDNOG00000008510"
"67"	9.10284416294193e-26	0.27790859399292	0.318	0.23	4.55142208147097e-22	"1"	"ENSDNOG00000034151"
"68"	6.11524559339136e-25	0.271852368282941	0.411	0.313	3.05762279669568e-21	"1"	"ENSDNOG00000045345"
"69"	1.09498674082493e-24	0.26041499024671	0.265	0.184	5.47493370412465e-21	"1"	"ENSDNOG00000000426"
"70"	6.66869443012987e-186	0.493778190892905	0.613	0.358	3.33434721506494e-182	"2"	"ENSDNOG00000030939"
"71"	1.74088502161624e-181	0.441967932166752	0.713	0.461	8.70442510808121e-178	"2"	"ENSDNOG00000037287"
"72"	2.94408644398015e-99	0.360869733506789	0.352	0.183	1.47204322199007e-95	"2"	"ENSDNOG00000035605"
"73"	1.85845796492431e-92	0.275155777390837	0.391	0.213	9.29228982462156e-89	"2"	"ENSDNOG00000040748"
"74"	9.69284436920867e-73	0.300512828081033	0.63	0.452	4.84642218460433e-69	"2"	"ENSDNOG00000035400"
"75"	5.61920575886003e-71	0.348134435161391	0.535	0.37	2.80960287943001e-67	"2"	"ENSDNOG00000038558"
"76"	4.69773362417771e-56	0.314479785519301	0.47	0.323	2.34886681208886e-52	"2"	"ENSDNOG00000005279"
"77"	1.19540918210034e-54	0.260344721049558	0.6	0.452	5.97704591050172e-51	"2"	"ENSDNOG00000050450"
"78"	0	0.558950474666806	0.99	0.958	0	"3"	"ENSDNOG00000050106"
"79"	1.18995749372092e-282	0.359248896370585	1	1	5.9497874686046e-279	"3"	"ENSDNOG00000035638"
"80"	3.81692457771389e-251	0.582242681206719	0.833	0.754	1.90846228885694e-247	"3"	"ENSDNOG00000025237"
"81"	1.13545988996571e-242	0.554625120378774	0.414	0.185	5.67729944982857e-239	"3"	"ENSDNOG00000040748"
"82"	2.21379167179388e-204	0.573011917728944	0.427	0.214	1.10689583589694e-200	"3"	"ENSDNOG00000048886"
"83"	1.1390973489929e-177	0.478309166961791	0.559	0.354	5.69548674496449e-174	"3"	"ENSDNOG00000030939"
"84"	6.96588688375169e-146	0.317069672789049	0.934	0.893	3.48294344187585e-142	"3"	"ENSDNOG00000047815"
"85"	1.2044449685874e-139	0.427782562642746	0.631	0.469	6.02222484293702e-136	"3"	"ENSDNOG00000037287"
"86"	3.44600671579294e-122	0.442584891227195	0.713	0.595	1.72300335789647e-118	"3"	"ENSDNOG00000017128"
"87"	5.18206422920301e-120	0.37521674676087	0.536	0.352	2.5910321146015e-116	"3"	"ENSDNOG00000040689"
