"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	1.03030605325524	0.943	0.539	0	"CD4+ T"	"ENSDNOG00000042721"
"2"	0	0.88160653450743	0.87	0.639	0	"CD4+ T"	"ENSDNOG00000045345"
"3"	0	0.794197428992417	0.976	0.7	0	"CD4+ T"	"ENSDNOG00000035400"
"4"	0	0.784643150675477	0.934	0.716	0	"CD4+ T"	"ENSDNOG00000041688"
"5"	0	0.765167511590829	0.812	0.48	0	"CD4+ T"	"ENSDNOG00000019529"
"6"	0	0.680753262923644	0.903	0.598	0	"CD4+ T"	"ENSDNOG00000005279"
"7"	0	0.641480000820616	0.88	0.671	0	"CD4+ T"	"ENSDNOG00000040096"
"8"	0	0.557490472103044	0.841	0.595	0	"CD4+ T"	"ENSDNOG00000048140"
"9"	0	0.533936329396719	0.804	0.566	0	"CD4+ T"	"ENSDNOG00000041323"
"10"	0	0.516266774398982	0.696	0.476	0	"CD4+ T"	"ENSDNOG00000031506"
"11"	0	0.495401970214838	0.78	0.569	0	"CD4+ T"	"ENSDNOG00000008415"
"12"	0	0.475613924786761	0.739	0.485	0	"CD4+ T"	"ENSDNOG00000011482"
"13"	0	0.455496284279529	0.946	0.828	0	"CD4+ T"	"ENSDNOG00000014105"
"14"	0	0.455190777298455	0.894	0.665	0	"CD4+ T"	"ENSDNOG00000038558"
"15"	0	0.405837922448321	0.994	0.817	0	"CD4+ T"	"ENSDNOG00000045979"
"16"	0	0.403901487608249	0.621	0.404	0	"CD4+ T"	"ENSDNOG00000049566"
"17"	0	0.374497790276789	0.824	0.597	0	"CD4+ T"	"ENSDNOG00000009597"
"18"	0	0.353084938341143	0.608	0.391	0	"CD4+ T"	"ENSDNOG00000018729"
"19"	0	0.351560564384164	0.986	0.881	0	"CD4+ T"	"ENSDNOG00000025237"
"20"	0	0.33206089571647	0.946	0.789	0	"CD4+ T"	"ENSDNOG00000034167"
"21"	0	0.293072956059298	0.914	0.709	0	"CD4+ T"	"ENSDNOG00000032905"
"22"	0	0.2816439602602	0.805	0.639	0	"CD4+ T"	"ENSDNOG00000012037"
"23"	0	0.281123326876976	0.876	0.675	0	"CD4+ T"	"ENSDNOG00000002614"
"24"	1.51739942198192e-275	2.50380531886092	0.569	0.704	7.58699710990958e-272	"CD4+ T"	"ENSDNOG00000042948"
"25"	3.47678578202752e-267	0.346509057875665	0.712	0.604	1.73839289101376e-263	"CD4+ T"	"ENSDNOG00000033764"
"26"	1.27051331357814e-242	0.252911618914542	0.668	0.513	6.35256656789071e-239	"CD4+ T"	"ENSDNOG00000033820"
"27"	3.3956496334153e-241	0.376821028186564	0.702	0.51	1.69782481670765e-237	"CD4+ T"	"ENSDNOG00000035605"
"28"	3.80622588674248e-199	0.321776610193691	0.741	0.617	1.90311294337124e-195	"CD4+ T"	"ENSDNOG00000045202"
"29"	8.25521899301106e-154	0.266530112719406	0.567	0.436	4.12760949650553e-150	"CD4+ T"	"ENSDNOG00000031371"
"30"	1.77255888296037e-139	0.357848852197122	0.765	0.672	8.86279441480186e-136	"CD4+ T"	"ENSDNOG00000019241"
"31"	3.01246559852026e-139	0.267236838570244	0.584	0.457	1.50623279926013e-135	"CD4+ T"	"ENSDNOG00000031253"
"32"	2.48696123418457e-117	0.304426264872629	0.558	0.429	1.24348061709229e-113	"CD4+ T"	"ENSDNOG00000051974"
"33"	4.87378184457506e-91	0.552950220011268	0.579	0.445	2.43689092228753e-87	"CD4+ T"	"ENSDNOG00000045722"
"34"	2.13917745747968e-90	0.297603404190908	0.52	0.403	1.06958872873984e-86	"CD4+ T"	"ENSDNOG00000041677"
"35"	4.72728278496475e-85	0.285626274178281	0.467	0.362	2.36364139248237e-81	"CD4+ T"	"ENSDNOG00000032695"
"36"	4.72658534468663e-79	1.30914545319257	0.262	0.377	2.36329267234331e-75	"CD4+ T"	"ENSDNOG00000048359"
"37"	5.83256442727205e-55	1.2841466361445	0.202	0.284	2.91628221363603e-51	"CD4+ T"	"ENSDNOG00000037466"
"38"	1.59125324212299e-54	0.502188041869381	0.418	0.495	7.95626621061497e-51	"CD4+ T"	"ENSDNOG00000025188"
"39"	2.44052942501123e-52	1.24160016200404	0.223	0.31	1.22026471250561e-48	"CD4+ T"	"ENSDNOG00000040115"
"40"	1.18405741097723e-33	1.29907028588476	0.248	0.326	5.92028705488613e-30	"CD4+ T"	"ENSDNOG00000044236"
"41"	8.43746422323875e-29	8.84861994994596	0.527	0.568	4.21873211161937e-25	"CD4+ T"	"ENSDNOG00000035836"
"42"	5.407776191843e-22	1.30032511809675	0.434	0.358	2.7038880959215e-18	"CD4+ T"	"ENSDNOG00000003146"
"43"	4.3143419124468e-21	5.42799308234275	0.249	0.322	2.1571709562234e-17	"CD4+ T"	"ENSDNOG00000018203"
