"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"1"	0	1.43980831650696	0.876	0.192	0	"CD4+ T"	"ENSDNOG00000042721"
"2"	0	1.17553356428342	0.706	0.266	0	"CD4+ T"	"ENSDNOG00000045345"
"3"	0	1.1331345464912	0.78	0.28	0	"CD4+ T"	"ENSDNOG00000005279"
"4"	0	1.11854957221688	0.714	0.161	0	"CD4+ T"	"ENSDNOG00000019529"
"5"	0	1.11642120061251	0.871	0.406	0	"CD4+ T"	"ENSDNOG00000041688"
"6"	0	0.994758964630114	0.946	0.41	0	"CD4+ T"	"ENSDNOG00000035400"
"7"	0	0.854689365524338	0.727	0.289	0	"CD4+ T"	"ENSDNOG00000040096"
"8"	0	0.847897961885525	0.726	0.329	0	"CD4+ T"	"ENSDNOG00000002614"
"9"	0	0.810504275649997	0.663	0.236	0	"CD4+ T"	"ENSDNOG00000048140"
"10"	0	0.768824784791255	0.373	0.088	0	"CD4+ T"	"ENSDNOG00000031506"
"11"	0	0.744284261098129	0.557	0.166	0	"CD4+ T"	"ENSDNOG00000041323"
"12"	0	0.644515506568911	0.317	0.052	0	"CD4+ T"	"ENSDNOG00000018729"
"13"	1.7704639033439e-304	0.630094264741406	0.295	0.058	8.8523195167195e-301	"CD4+ T"	"ENSDNOG00000049566"
"14"	7.0040489737158e-300	0.671884364254726	0.511	0.177	3.5020244868579e-296	"CD4+ T"	"ENSDNOG00000008415"
"15"	1.93754047660709e-279	0.584049067364274	0.877	0.629	9.68770238303543e-276	"CD4+ T"	"ENSDNOG00000014105"
"16"	2.16729202215138e-273	0.479351867027093	0.987	0.608	1.08364601107569e-269	"CD4+ T"	"ENSDNOG00000045979"
"17"	1.49556360070555e-271	0.565886175689011	0.759	0.343	7.47781800352777e-268	"CD4+ T"	"ENSDNOG00000038558"
"18"	2.85457652721419e-270	0.680959214803673	0.526	0.203	1.42728826360709e-266	"CD4+ T"	"ENSDNOG00000011482"
"19"	1.74693904115055e-195	0.437083410448455	0.804	0.445	8.73469520575277e-192	"CD4+ T"	"ENSDNOG00000032905"
"20"	8.32731318999242e-188	0.390083633899138	0.822	0.447	4.16365659499621e-184	"CD4+ T"	"ENSDNOG00000040677"
"21"	3.11771247833731e-182	0.40128591837353	0.969	0.743	1.55885623916866e-178	"CD4+ T"	"ENSDNOG00000025237"
"22"	1.41811737713399e-175	0.525632809424983	0.298	0.096	7.09058688566994e-172	"CD4+ T"	"ENSDNOG00000025323"
"23"	1.20031429955533e-174	0.389484032387063	0.877	0.545	6.00157149777663e-171	"CD4+ T"	"ENSDNOG00000034167"
"24"	8.79915953614707e-168	0.412728912359847	0.605	0.291	4.39957976807354e-164	"CD4+ T"	"ENSDNOG00000009597"
"25"	2.75532337208168e-155	0.416978692472226	0.276	0.087	1.37766168604084e-151	"CD4+ T"	"ENSDNOG00000033820"
"26"	2.53008317666634e-144	0.436743755797117	0.422	0.184	1.26504158833317e-140	"CD4+ T"	"ENSDNOG00000035605"
"27"	1.91095000457817e-135	0.501371089487348	0.348	0.149	9.55475002289085e-132	"CD4+ T"	"ENSDNOG00000033764"
"28"	5.61505973542965e-132	0.272771018737503	0.559	0.284	2.80752986771482e-128	"CD4+ T"	"ENSDNOG00000012037"
"29"	4.28737081701552e-115	0.456900731984398	0.393	0.196	2.14368540850776e-111	"CD4+ T"	"ENSDNOG00000045722"
"30"	3.8800117852594e-112	0.265512670641748	0.994	0.888	1.9400058926297e-108	"CD4+ T"	"ENSDNOG00000016414"
"31"	5.8106735170401e-112	0.349495269790768	0.252	0.092	2.90533675852005e-108	"CD4+ T"	"ENSDNOG00000002205"
"32"	7.80235241792143e-112	0.381854123281666	0.292	0.117	3.90117620896071e-108	"CD4+ T"	"ENSDNOG00000047741"
"33"	1.24181877766727e-105	0.397344441178038	0.324	0.143	6.20909388833635e-102	"CD4+ T"	"ENSDNOG00000046642"
"34"	2.80809283848403e-75	0.335166756338074	0.32	0.166	1.40404641924201e-71	"CD4+ T"	"ENSDNOG00000035169"
