ID	Date	Time	Weight	AST	LDH	ALT	WBC	LY..	MO..	GR..	LY.	MO.	GR.	RBC	Hgb	Hct	MCV	MCH	MCHC	RDW	Plt	MPV	...24	GLU.H	time	rowname	ident	quad
1	16-201	2018-06-15	11:23:00	6.7	22.2	755	NA	6.3	43.5	39.1	17.399999999999999	2.7	2.5	1.1000000000000001	5.61	10.4	32.4	57.7	18.600000000000001	32.299999999999997	16.100000000000001	520	NA	NA	NA	3	16-2_1_3	1	16-2
2	16-201	2018-07-20	02:45:00	6.75	36	915	5.7	4.0999999999999996	NA	NA	NA	NA	NA	NA	NA	NA	29.6	NA	NA	NA	NA	NA	NA	NA	82	3	16-2_1_3	1	16-2
3	16-202	2018-06-15	11:34:00	6.95	21.4	716	NA	NA	54.1	29.8	16.100000000000001	NA	NA	NA	6.31	12	37	58.6	19.100000000000001	32.6	15.7	561	NA	NA	NA	3	16-2_2_3	2	16-2
4	16-202	2018-07-20	02:47:00	6.95	44.1	1007	9.3000000000000007	5.6	NA	NA	NA	NA	NA	NA	NA	NA	31.7	NA	NA	NA	NA	NA	NA	NA	61	3	16-2_2_3	2	16-2
5	16-203	2018-06-15	11:35:00	6.85	20.2	741	NA	7.2	45.6	38.4	16	3.3	2.8	1.2	6.34	11.9	37.1	58.5	18.8	32.1	16	593	NA	NA	NA	3	16-2_3_3	3	16-2
6	16-203	2018-07-20	02:49:00	6.75	20.2	797	NA	6.2	NA	NA	NA	NA	NA	NA	NA	NA	27.8	NA	NA	NA	NA	NA	NA	NA	64	3	16-2_3_3	3	16-2
7	16-204	2018-06-15	11:37:00	NA	19	721	NA	6.4	49.5	31.3	19.2	3.2	2	1.2	5.82	11.2	33.9	58.2	19.3	33.1	15.5	525	NA	NA	NA	3	16-2_4_3	4	16-2
8	16-204	2018-07-20	02:51:00	7.05	19.7	940	NA	4.3	NA	NA	NA	NA	NA	NA	NA	NA	31.9	NA	NA	NA	NA	NA	NA	NA	49	3	16-2_4_3	4	16-2
9	16-301	2018-07-20	02:53:00	8.4499999999999993	36.3	613	NA	5.7	NA	NA	NA	NA	NA	NA	NA	NA	33.4	NA	NA	NA	NA	NA	NA	NA	77	3	16-3_1_3	1	16-3
10	16-302	2018-07-20	02:55:00	7.7	33.6	676	NA	5.8	NA	NA	NA	NA	NA	NA	NA	NA	30.3	NA	NA	NA	NA	NA	NA	NA	69	3	16-3_2_3	2	16-3
11	16-302	2018-10-26	12:45:00	7.5	34.4	642	6.9	4.8	20.8	6.8	72.400000000000006	2	0.3	3.5	5.63	10.7	28.6	50.8	19.100000000000001	37.5	21.1	251	5.2	NA	NA	4	16-3_2_4	2	16-3
12	16-303	2018-07-30	02:57:00	8.4499999999999993	38.5	599	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	28.6	NA	NA	NA	NA	NA	NA	NA	86	3	16-3_3_3	3	16-3
13	16-303	2018-10-26	12:49:00	8.1	38.1	592	8.1999999999999993	3.7	36.299999999999997	8.9	54.8	1.3	0.4	2	6.04	11.1	30.1	49.9	18.399999999999999	36.9	20.8	233	5	NA	NA	4	16-3_3_4	3	16-3
14	16-304	2018-07-20	02:59:00	8.1999999999999993	39.1	620	NA	5.4	NA	NA	NA	NA	NA	NA	NA	NA	31.4	NA	NA	NA	NA	NA	NA	NA	82	3	16-3_4_3	4	16-3
