row	ID	Date	time	RT	Weight	AST	LDH	ALT	WBC	LY %	MO %	GR %	LYno	MOno	GRno	RBC	Hgb	Hct	MCV	MCH	MCHC	RDW	Plt	MPV		GLU-H
#					lbs			u/L	x10^3 uL	%	%	%	x10^3 uL	x10^3 uL	x10^3 uL	x10^6 uL	g/dL	%	fL	pg	g/DdL	%	x10^3 uL	fL		mg/dL
	16-201	6/15/18	3	11:23	6.7	22.2	755		6.3	43.5	39.1	17.4	2.7	2.5	1.1	5.61	10.4	32.4	57.7	18.6	32.3	16.1	520			
	16-201	7/20/18	3	2:45	6.75	36	915	5.7	4.1									29.6								82
	16-202	6/15/18	3	11:34	6.95	21.4	716			54.1	29.8	16.1				6.31	12	37	58.6	19.1	32.6	15.7	561			
	16-202	7/20/18	3	2:47	6.95	44.1	1007	9.3	5.6									31.7								61
	16-203	6/15/18	3	11:35	6.85	20.2	741		7.2	45.6	38.4	16	3.3	2.8	1.2	6.34	11.9	37.1	58.5	18.8	32.1	16	593			
	16-203	7/20/18	3	2:49	6.75	20.2	797		6.2									27.8								64
	16-204	6/15/18	3	11:37		19	721		6.4	49.5	31.3	19.2	3.2	2	1.2	5.82	11.2	33.9	58.2	19.3	33.1	15.5	525			
	16-204	7/20/18	3	2:51	7.05	19.7	940		4.3									31.9								49
	16-301	7/20/18	3	2:53	8.45	36.3	613		5.7									33.4								77
	16-302	7/20/18	3	2:55	7.7	33.6	676		5.8									30.3								69
	16-302	10/26/18	4	12:45	7.5	34.4	642	6.9	4.8	20.8	6.8	72.4	2	0.3	3.5	5.63	10.7	28.6	50.8	19.1	37.5	21.1	251	5.2		
	16-303	7/30/18	3	2:57	8.45	38.5	599		5									28.6								86
	16-303	10/26/18	4	12:49	8.1	38.1	592	8.2	3.7	36.3	8.9	54.8	1.3	0.4	2	6.04	11.1	30.1	49.9	18.4	36.9	20.8	233	5		
	16-304	7/20/18	3	2:59	8.2	39.1	620		5.4									31.4								82
	16-304	10/26/18	4	12:51	8.05	39.3	611		4.3	25.1	7.8	67.1	1	0.4	2.9	6.41	12	32.2	50.1	18.8	37.5	20.1	259	5.2		
	16-901	8/03/18	2	11:47	8.65	32	749	6	2.6									35.5								
	16-901	11/29/18	3	3:32	7.6	49.6	866		2.3	14.8	4.2	81	0.3	0.1	1.9	5.32	9.7	26	48.8	18.3	37.6	20.3	294	5.4		
	16-902	8/03/18	2	11:48	8.5	37.8	688	7.6	3.4									36.9								
	16-902	11/29/18	3	3:34	8.5	37.8	688	7.6	3.1	15.6	5	79.4	0.4	0.3	2.4	4.58	8.8	22.5	49	19.3	39.3	21.3	354	5.4		
	16-903	8/03/18	2	11:49	9.2	26.1	667	5.6	3.2									38.9								
	16-903	11/29/18	3	3:35	9.5	28.1	655		3	18.3	6.8	74.9	0.5	0.3	2.2	5.62	10.4	27.2	48.3	20.5	38.4	20.5	325	5.5		
	16-904	8/03/18	2	11:50	9.05	42.1	733	7.9	2.6									37.2								
	16-904	11/29/18	3	3:36	9	26.1	636		6.6	9.9	4.1	86	0.6	0.4	5.6	6.43	11.7	31.2	48.5	18.2	37.5	20.5	320	5.5		
	15-501	4/06/18	2	11:10	8.85	10.7	675		4.4	53.3	24.2	22.5	2.3	1.1	1	5.5	10	32.2	58.6	18.3	31.2	17.4	625			
	15-501	5/02/18	3	11:29	8.85	16.7	757	6.8	4.3	56.3	33.4	10.3	2.4	1.4	0.4	4.73	8.7	27.8	58.8	18.5	31.4	17.3	635			
	15-501	6/29/18	4	10:48	8.65	19.2	1497	5.2	5.1	49.2	30.5	20.3	2.5	1.6	1	4.48	7.9	26.4	58.9	17.7	30	17.1	402	5.2		
	15-501	7/27/18	5	1:20	8.45	28.6	3730	6.7										20.8								
	15-502	4/06/18	2	11:13	8.95	10	643	6.6	6.1	43.2	34.7	22.1	2.6	2.1	1.3	5.53	10.2	32.1	58	18.4	31.7	17.6	613			
	15-502	5/02/18	3	11:31	8.8	41.4	726	29.4	7.7	47.9	36.5	15.6	3.7	2.8	1.2	5.06	9.3	29.3	57.9	18.5	31.9	18	642			
	15-502	6/29/18	4	10:50		6.8	777		4.1	40.7	28.1	31.2	1.7			5.24	9.1	30.6	58.4	17.5	29.9	16.8	674	6.1		
	15-502	7/27/18	5	1:21	8	19.8	2160	7.5	4.8									24.7								
	15-503	4/06/18	2	11:16	9	10.4	749		6.6	41.7	33.5	24.8	2.8	2.2	1.6	5.74	11	33.6	58.5	19.1	32.6	17.4	674			
	15-503	5/02/18	3	11:34	8.75	8	795	5.9	6.6	41.9	37.7	20.4	2.8	2.5	1.3	5.25	9.7	30.6	58.2	18.5	31.7	17	689			
	15-504	4/06/18	2	11:19	8.2	12.9	716	12.6		56.7	25.8	17.5				5.98	11.1	34.4	57.5	18.5	32.2	17.2	640			
	15-504	5/02/18	3	11:36	8.2	13.3	665	6.6	4	53.1	34.8	12.1	2.1	1.4	0.5	5.05	9.2	28.8	57	18.3	32.1	17.1	636			
	15-504	6/29/18	4	10:52	8.2	13.3	665	6.6	2.9	49.2	32.8	18	1.4	1	0.5	5.35	9.4	30.6	57.1	17.5	30.7	16.4	707			
	15-504	7/27/18	5	1:22	7.65	19.5	2090	5.3	4									23.6								
	15-504	8/22/18	6	11:29	8	23.8	2900	9.5	10.6									22.4								
	12-101	4/13/18	2	11:04	9.3	18.1	628	6.3		52	24.5	23.5				5.42	11	33.1	61.1	20.3	33.3	15.3	506	5.1		
	12-101	5/10/18	3	11:01	9.25	48.3	655	16.3	5.8	44.5	37.9	17.6	2.6	2.2	1	5.08	10.3	32	63	20.2	32.1	15.9	524			
	12-201	6/08/18	4	11:26	8.95	14.8	624	5.1		55.6	28.3	16.1				4.83	9.6	29.2	60.5	20	33	14.6	555	5		
	12-201	7/12/18	5	12:40	8.4	18.2	644		7.6									33.6								
	12-102	4/13/18	2	11:06	9.05	28	1392	13	6	39.1	42.1	18.8	2.3	2.5	1.1	4.67	9.3	27.8	59.5	20	33.5	15.9	294	5.6		
	12-102	5/10/18	3	11:04	8.95	29.5	1232	12.2	5.3	43.6	36.8	19.6	2.3	2	1	4.62	9.2	27.6	59.7	19.9	33.3	15.2	369	5.1		
	12-102	6/08/18	4	11:27	8.6	17.8	1159			58.7	28.8	12.5				4.63	8.8	27	58.2	19.1	32.7	15.4	360	5.7		
	12-102	7/12/18	5	12:41	8	23.6			7.3									28.2								
	12-103	4/13/18	2	11:14	6.9	20.6	741		4.3	46.7	33	20.3	2	1.4	0.9	4.79	9.7	29.3	61.1	20.2	33	14.6	478	5		
	12-103	5/10/18	3	11:08	6.65	44.8	1114	9.2	5.4							4.87	9.8	29.9	61.3	20.1	32.8	15.3				
	12-104	4/13/18	2	11:20	8	28.2	1840	8.7	4.6	40.8	38.3	20.9	1.9	1.8	1	4.9	9.6	29	59.1	19.6	33.1	15.7	374	5.5		
	12-104	5/10/18	3	11:10	8	29.4	1577	7.8	7.9	35.9	37.9	26.2	2.8	3	2.1	4.92	9.5	28.9	58.7	19.3	32.8	16.6	377	5.7		
	12-104	6/08/18	4	11:30	7.9	21.9	1537		6.6	56.5	30.5	13	3.7	2	0.9	3.88	7.7	22.5	58.1	19.8	34	16.3	320	5.9		
#																										
	16-901	8/26/19	3.5			34	709	10	4.5	13.9	6.7	70.4	0.6	0.3	3.6	5.28	9.9	25.7	48.6	18.8	38.6	19.8	249	5.4		
	16-902	8/26/19	3.5			32	726	10	3.7	12.9	6.3	80.8	0.4	0.3	3	5.52	10.4	27.3	49.5	18.8	38	20.3	287	5.4		
	16-903	8/26/19	3.5			79	878	55	5	11.9	6.2	81.9	0.6	0.3	4.1	6.75	12.3	33	48.9	18.2	37.3	20.7	238	5.6		
	16-904	8/26/19	3.5			38	788	10	4.2	13.1	6.7	80.2	0.5	0.4	3.3	5.06	9.6	24.9	49.3	19.7	38.7	19.7	255	5.6		
